TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
-15.4,-21.8,0.0,767.6,50,60
-17.6,-23.4,0.0,769.5,58,64
-17.6,-23.4,0.0,768.3,59,66
-17.2,-22.4,0.0,767.1,58,64
-18.5,-25.3,0.0,761.7,58,63
-17.5,-22.1,0.0,759.3,57,61
-16.1,-19.7,0.0,760.0,58,63
-15.5,-19.3,0.0,765.5,56,71
-17.4,-22.8,0.0,772.2,53,57
-17.3,-20.8,0.0,775.1,46,55
-15.4,-18.6,0.0,773.9,49,56
-13.9,-19.5,0.0,773.3,47,58
-15.3,-18.5,0.0,771.7,46,51
-16.1,-20.7,0.0,769.6,50,54
-16.3,-22.4,0.0,767.0,52,57
-18.5,-24.3,0.0,769.2,55,61
-18.5,-23.4,0.0,767.1,52,55
-16.4,-23.4,0.0,765.8,51,55
-20.0,-25.0,0.0,765.4,55,56
-20.7,-25.8,0.0,763.6,54,58
-20.5,-27.1,0.0,762.5,54,58
-22.6,-28.7,0.0,759.3,58,60
-22.8,-28.9,0.0,757.9,58,61
-22.3,-28.2,0.0,759.9,55,61
-23.9,-30.2,0.0,760.3,57,59
-24.6,-29.8,0.0,760.1,54,59
-22.9,-26.8,0.0,760.6,57,66
-21.2,-26.5,0.0,761.1,61,66
-21.8,-29.1,0.0,755.5,53,61
-21.8,-25.0,0.0,755.8,43,60
-21.6,-29.8,0.0,754.1,45,63
-22.9,-28.3,0.0,754.2,50,67
-19.5,-24.1,0.0,761.0,62,69
-20.3,-28.5,0.0,757.9,56,61
-25.3,-30.8,0.0,755.9,54,56
-25.2,-27.8,0.0,760.0,44,58
-22.7,-28.7,0.0,768.4,57,68
-21.9,-27.3,0.0,773.0,51,65
-23.2,-29.2,0.0,770.4,51,53
-21.3,-30.3,0.0,767.4,46,57
-21.2,-32.2,0.0,764.3,48,63
-26.3,-32.6,0.0,757.4,57,59
-22.6,-28.4,0.0,767.2,44,73
-22.1,-25.3,0.0,780.5,61,74
-24.8,-30.6,0.0,780.2,50,57
-26.6,-32.4,0.0,775.3,44,50
-29.5,-34.6,0.0,771.3,44,49
-29.2,-33.6,0.0,766.1,49,51
-17.5,-28.5,3.3,770.4,49,81
-15.6,-19.1,2.1,781.1,78,85
-14.5,-21.6,0.0,774.8,46,79
-18.9,-25.9,0.0,773.1,41,46
-24.2,-28.6,0.0,769.1,41,47
-26.4,-30.4,0.0,763.6,42,48
-27.5,-33.6,0.0,760.1,42,48
-25.0,-32.5,0.0,764.8,28,63
-24.8,-36.6,0.0,767.9,43,70
-29.3,-34.6,0.0,765.3,40,53
-27.8,-34.6,0.0,766.5,39,49
-31.2,-32.9,0.0,765.0,41,47
-31.9,-36.7,0.0,764.7,43,54
-33.3,-38.1,0.0,766.2,47,53
-35.7,-39.9,0.0,762.0,48,55
-35.7,-40.7,0.0,759.6,52,58
-35.8,-40.1,0.0,758.6,49,57
-37.0,-40.9,0.0,752.4,48,51
-35.7,-41.7,0.0,750.0,41,65
-37.3,-42.5,0.0,750.6,54,57
-34.6,-41.4,0.0,753.6,46,65
-28.9,-33.4,0.0,760.4,42,83
-27.9,-33.3,0.0,756.8,61,83
-31.4,-35.3,0.0,753.9,56,66
-29.8,-33.0,0.0,759.7,54,72
-30.9,-34.7,0.0,759.1,52,58
-31.2,-34.1,0.0,759.9,41,58
-32.7,-38.7,0.0,759.0,42,48
-36.9,-39.5,0.0,760.0,38,49
-37.5,-41.2,0.0,763.2,38,39
-38.9,-40.4,0.0,759.3,36,48
-39.2,-43.6,0.0,750.7,46,58
-37.3,-45.6,0.0,755.7,53,64
-35.9,-43.1,0.0,758.4,51,75
-31.8,-35.3,0.0,762.6,76,89
-34.7,-39.4,0.0,760.0,52,73
-34.4,-38.8,0.0,761.8,51,57
-31.2,-33.7,0.0,758.3,56,59
-30.6,-33.0,0.0,751.7,54,56
-31.3,-33.2,0.0,749.0,49,56
-27.0,-31.7,0.0,754.3,48,66
-28.2,-32.3,0.0,758.7,59,65
-28.1,-32.0,0.0,765.4,63,71
-31.5,-37.1,0.0,765.8,56,65
-36.7,-39.7,0.0,767.3,42,56
-38.0,-39.3,0.0,770.3,41,43
-38.7,-40.6,0.0,767.5,42,46
-38.1,-40.0,0.0,763.4,41,45
-39.9,-44.0,0.0,758.5,41,46
-43.3,-45.7,0.0,756.8,46,51
-40.7,-46.3,0.0,757.2,48,73
-42.7,-45.1,0.0,760.6,46,76
-43.7,-46.2,0.0,751.9,46,52
