TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
-23.4,-25.3,0.0,1021.5,78,80
-24.5,-32.8,0.0,1020.4,74,79
-33.1,-35.5,0.0,1022.1,71,74
-30.9,-35.3,0.0,1020.9,73,79
-28.1,-30.3,0.0,1020.9,77,92
-26.2,-30.0,0.0,1022.2,77,91
-24.6,-28.0,0.0,1020.1,78,82
-21.2,-25.1,0.0,1017.5,75,81
-21.7,-23.7,0.0,1018.4,76,79
-22.5,-25.3,0.0,1019.6,75,77
-25.6,-32.7,0.0,1021.7,77,82
-32.9,-38.6,0.0,1027.1,68,82
-37.3,-40.5,0.0,1036.5,67,73
-26.8,-38.4,0.0,1041.0,70,83
-26.4,-27.3,0.0,1042.1,79,86
-19.4,-27.4,0.0,1046.5,79,86
-8.3,-19.1,0.0,1033.9,79,86
-6.8,-9.5,0.0,1031.8,79,85
-9.4,-14.0,0.0,1039.2,84,93
-12.7,-22.4,0.0,1043.9,77,88
-17.8,-21.8,0.0,1036.4,69,77
-17.6,-25.2,0.0,1024.6,76,87
-20.4,-25.8,0.0,1025.7,77,81
-25.0,-29.7,0.0,1037.2,75,84
-25.5,-33.0,0.0,1034.3,73,79
-23.9,-25.7,0.0,1032.9,77,82
-23.3,-28.5,0.0,1042.7,76,83
-28.3,-32.2,0.0,1044.3,78,90
-18.6,-28.4,0.0,1025.0,75,83
-16.7,-19.1,0.4,1006.5,82,87
-19.3,-25.0,0.0,1007.8,83,91
-25.5,-30.7,0.0,1010.0,75,84
-30.4,-36.2,0.0,1004.4,73,76
-34.6,-37.7,0.0,1005.5,69,86
-32.4,-37.6,0.0,1010.8,73,89
-37.2,-44.9,0.0,1016.1,66,72
-33.3,-46.2,0.0,1019.7,68,81
-21.5,-32.4,1.6,1011.8,74,84
-21.4,-32.3,0.1,1006.5,73,79
-31.3,-33.2,0.0,1010.8,72,74
-29.7,-36.6,0.0,1012.8,73,77
-25.6,-29.3,0.0,1014.0,78,87
-28.6,-31.5,0.0,1016.9,78,83
-29.4,-32.7,0.0,1019.0,78,83
-30.6,-32.3,0.0,1019.9,79,91
-28.9,-33.4,0.0,1018.7,74,88
-32.5,-37.3,0.0,1018.5,71,75
-29.3,-36.7,0.0,1022.0,71,80
-23.4,-28.5,0.0,1023.1,80,90
-23.5,-27.9,0.0,1024.2,82,92
-23.0,-25.8,0.0,1022.0,81,86
-21.7,-23.3,0.0,1020.5,79,83
-22.0,-25.5,0.0,1025.5,78,81
-24.6,-27.5,0.0,1033.8,79,82
-24.8,-32.3,0.0,1039.9,77,87
-25.1,-32.9,0.0,1039.5,75,87
-22.1,-24.7,0.0,1034.8,75,82
-21.0,-25.5,0.0,1036.6,74,80
-20.8,-23.9,0.0,1035.3,76,79
-21.3,-24.0,0.0,1031.8,77,80
-20.1,-22.2,0.0,1034.1,71,79
-18.8,-24.0,0.0,1036.5,71,79
-18.8,-26.2,0.0,1036.1,70,78
-22.0,-31.9,0.0,1033.0,75,87
-24.0,-28.8,0.0,1026.4,74,93
-22.6,-32.5,0.0,1025.1,74,84
-25.1,-31.7,0.0,1020.1,70,75
-21.0,-25.0,0.0,1004.1,72,79
-21.6,-29.4,0.0,1011.0,69,80
-22.4,-27.3,0.0,1023.0,76,86
-20.3,-27.3,0.0,1026.9,75,89
-20.3,-25.5,0.0,1028.4,75,84
-20.5,-23.1,0.0,1026.6,79,90
-19.4,-24.1,0.0,1028.6,71,82
-20.8,-29.1,0.0,1031.7,76,87
-23.8,-29.9,0.0,1032.9,72,85
-23.3,-29.2,0.0,1032.3,76,86
-23.5,-33.9,0.0,1032.4,73,80
-25.3,-31.5,0.0,1031.3,73,89
-18.8,-25.7,0.0,1024.7,77,85
-13.8,-18.5,0.9,1013.8,79,86
-11.2,-22.8,0.0,1017.2,79,89
-15.0,-19.1,0.0,1016.4,74,86
-17.9,-19.3,0.0,1016.6,73,78
-17.0,-18.3,0.0,1017.5,72,76
-16.2,-20.6,0.0,1018.6,74,78
-18.3,-20.9,0.0,1020.2,73,76
-19.6,-22.1,0.0,1022.3,73,82
-18.7,-21.8,0.3,1024.8,73,80
-17.8,-22.7,0.0,1028.3,69,76
-18.4,-22.2,0.0,1031.8,69,82
-16.8,-20.9,0.0,1030.7,74,92
-16.8,-21.0,0.0,1026.5,72,82
-17.1,-21.1,0.0,1026.9,73,80
-18.0,-21.9,0.0,1034.6,75,84
-15.7,-19.7,0.0,1032.0,71,88
-14.7,-19.4,0.0,1025.2,77,85
-16.7,-20.0,0.0,1016.6,69,80
-16.4,-22.3,0.0,1010.9,61,83
-16.2,-20.0,0.0,1011.8,75,84
-14.4,-17.2,2.1,1001.9,79,89
-14.4,-19.2,0.0,1009.9,74,83
-8.0,-15.1,0.0,1017.4,71,80
-0.5,-7.7,0.0,1010.4,73,84
0.1,-10.3,0.0,1016.7,70,86
-1.4,-10.5,0.0,1017.6,78,89
0.1,-7.1,0.0,1008.1,81,87
-0.3,-7.2,0.0,1009.7,77,88
0.5,-10.9,0.0,1013.9,77,92
-10.7,-14.9,0.0,1025.3,77,84
-12.9,-15.4,0.0,1029.3,78,87
-10.2,-15.6,0.0,1023.6,70,80
-8.9,-11.4,0.0,1014.5,70,84
-9.8,-11.7,0.0,1009.6,76,88
-9.7,-17.7,0.0,1014.8,67,87
-9.7,-14.0,0.0,1016.8,63,83
-9.1,-12.6,0.0,1017.5,65,86
-10.6,-15.4,0.0,1021.3,69,83
-11.4,-14.6,0.0,1019.0,73,84
-11.5,-14.7,0.0,1022.7,65,87
-12.0,-17.9,0.0,1026.0,67,88
-11.3,-14.2,0.0,1025.2,72,82
-10.3,-13.7,0.0,1025.5,71,85
-10.3,-13.7,0.0,1030.8,68,84
-6.7,-12.9,0.0,1032.3,69,83
-2.0,-6.5,0.0,1027.2,75,88
-0.9,-8.8,0.0,1025.8,79,88
3.1,-3.4,0.0,1023.7,77,84
5.0,0.3,0.0,1017.7,78,94
-0.4,-4.2,2.1,1020.7,77,92
-4.7,-8.6,0.0,1019.6,73,88
-7.8,-11.2,0.0,1015.4,69,84
-8.0,-11.8,0.0,1015.0,67,89
-6.8,-9.7,0.0,1017.6,65,91
-6.0,-11.3,0.1,1013.4,73,95
-2.2,-9.4,0.0,1004.6,65,82
2.9,-1.6,0.0,996.8,74,81
