TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
-1.5,-6.0,0.0,951.2,26,50
-3.5,-7.2,0.0,956.2,46,58
-4.0,-6.3,0.0,954.8,38,53
-3.8,-5.9,0.0,953.3,50,72
-4.9,-8.2,0.0,948.5,50,73
-2.9,-5.8,0.0,944.0,36,55
-2.6,-3.9,0.0,943.2,48,68
-2.3,-3.6,0.0,949.0,60,71
-2.5,-5.8,0.0,956.9,31,62
-3.2,-5.9,0.0,959.0,18,44
-2.6,-4.6,0.0,958.5,18,32
-2.2,-4.8,0.0,955.5,38,58
-3.7,-5.2,0.0,954.6,21,56
-3.9,-6.8,0.0,954.5,28,64
-4.4,-7.4,0.0,953.7,41,59
-4.7,-8.7,0.0,956.5,53,69
-6.5,-9.2,0.0,954.0,31,56
-5.3,-7.9,0.0,951.3,43,66
-7.8,-10.3,0.0,952.7,41,67
-7.5,-10.6,0.0,950.9,34,52
-7.0,-9.8,0.0,949.7,28,54
-7.3,-9.5,0.0,948.8,34,57
-6.4,-9.4,0.0,947.5,36,52
-7.3,-11.4,0.0,950.3,55,79
-10.2,-12.4,0.0,952.5,48,62
-9.8,-12.5,0.0,951.5,30,48
-7.4,-9.5,0.0,949.8,33,41
-6.4,-8.3,0.0,949.2,39,44
-6.4,-11.1,0.0,944.4,33,44
-8.5,-11.9,0.0,943.1,34,48
-8.8,-12.1,0.0,943.3,34,50
-8.4,-11.0,0.0,942.3,34,49
-6.6,-9.2,0.0,946.6,49,64
-5.9,-10.0,0.0,944.1,27,53
-9.0,-12.1,0.0,944.8,27,33
-9.5,-13.0,0.0,950.9,29,40
-6.8,-10.3,0.0,959.8,31,41
-5.8,-9.0,0.0,963.8,26,40
-6.8,-10.6,0.0,959.2,22,25
-8.3,-12.6,0.0,959.8,24,35
-10.3,-13.5,0.0,957.2,31,38
-10.4,-13.8,0.0,949.6,31,34
-10.0,-14.1,0.0,959.5,33,62
-10.2,-12.3,0.0,975.4,51,62
-10.5,-13.7,0.0,974.3,22,61
-12.1,-15.7,0.0,970.0,19,22
-14.8,-18.5,0.0,967.6,17,22
-12.7,-16.3,0.0,962.5,20,22
-4.8,-12.2,2.5,958.1,20,69
-0.6,-4.7,5.1,967.4,52,75
0.8,-3.2,0.0,958.8,21,55
-3.3,-11.0,0.0,956.2,14,20
-10.8,-14.7,0.0,956.3,14,24
-11.7,-13.7,0.0,951.6,14,26
-13.1,-17.2,0.0,950.7,16,20
-15.4,-18.4,0.0,959.3,16,44
-15.5,-19.4,0.0,962.5,36,58
-15.1,-20.9,0.0,957.3,17,36
-15.3,-20.5,0.0,958.4,16,26
-17.9,-20.8,0.0,957.4,17,22
-17.7,-21.9,0.0,961.6,17,33
-18.8,-23.4,0.0,964.7,26,34
-21.3,-24.8,0.0,963.2,22,35
-18.9,-23.4,0.0,962.3,27,34
-17.5,-19.7,0.0,959.7,22,29
-18.2,-22.1,0.0,951.0,21,24
-19.3,-22.1,0.0,950.0,21,30
-18.4,-21.4,0.0,952.7,30,35
-19.6,-25.5,0.0,956.1,35,49
-16.5,-23.4,0.0,953.4,37,59
-12.7,-16.3,0.0,949.0,40,54
-11.6,-15.2,0.0,947.3,30,38
-12.0,-13.6,0.0,952.9,33,47
-12.2,-14.7,0.0,951.7,31,33
-13.5,-17.1,0.0,951.9,20,37
-16.8,-21.8,0.0,954.2,17,21
-20.7,-21.7,0.0,959.0,18,24
-20.5,-23.7,0.0,961.4,10,17
-23.7,-26.6,0.0,957.9,11,18
-24.6,-28.2,0.0,952.5,19,30
-26.4,-31.6,0.0,962.6,29,43
-25.2,-30.7,0.0,960.9,25,41
-19.7,-26.6,0.0,959.2,42,60
-19.6,-24.8,0.0,963.8,45,58
-24.1,-25.9,0.0,964.2,33,43
-20.5,-23.5,0.0,956.9,33,37
-18.7,-20.2,0.0,946.1,33,35
-16.2,-19.6,0.0,942.0,25,33
-11.3,-15.8,0.0,944.3,20,35
-11.0,-13.9,0.0,951.3,36,40
-13.9,-16.9,0.0,961.2,40,53
-14.9,-18.7,0.0,966.0,34,41
-18.7,-23.2,0.0,966.9,23,39
-23.1,-25.0,0.0,970.4,14,22
-25.0,-26.8,0.0,969.5,16,21
-25.9,-29.8,0.0,964.2,19,22
-29.4,-31.3,0.0,960.9,20,25
-29.4,-35.0,0.0,962.8,23,47
-28.4,-34.2,0.0,964.7,30,53
-27.7,-31.9,0.0,966.6,25,49
-27.6,-31.2,0.0,955.6,21,26
-18.7,-29.6,0.0,950.9,24,34
-17.6,-22.9,0.0,948.2,13,35
-23.4,-30.0,0.0,944.9,12,15
-29.1,-34.3,0.0,946.4,16,46
-24.2,-35.1,0.0,951.9,46,61
-25.3,-28.2,0.0,956.5,27,60
-21.1,-28.6,0.0,953.1,29,40
-17.2,-20.7,0.0,949.8,28,39
-17.3,-21.7,0.0,950.4,38,54
-21.2,-28.6,0.0,948.4,32,50
-13.6,-26.2,0.0,937.8,27,47
-14.9,-20.2,0.0,936.4,27,42
-15.8,-19.8,0.0,945.3,24,46
-10.9,-19.8,0.0,929.9,21,53
-12.2,-19.0,0.0,938.5,53,62
-19.1,-23.4,0.0,944.8,39,51
-14.4,-21.1,0.0,955.2,37,54
-19.2,-26.3,0.0,960.0,38,54
-26.4,-28.4,0.0,958.2,34,43
-26.5,-29.9,0.0,965.2,33,43
-27.8,-30.4,0.1,961.9,23,43
-27.0,-28.7,0.0,948.0,36,54
-23.3,-28.6,0.0,941.0,26,35
-18.7,-23.1,0.0,932.1,22,35
-19.2,-23.7,0.0,939.8,24,46
-16.9,-22.6,0.0,942.4,19,38
-9.3,-18.4,0.0,939.9,21,47
-8.3,-13.6,0.0,960.6,26,45
-13.2,-16.5,0.0,964.3,10,24
-14.4,-23.3,0.0,962.4,11,34
-13.6,-17.9,0.0,959.2,23,31
-12.5,-16.4,0.0,956.6,11,23
-16.7,-28.5,0.0,958.0,10,18
-17.6,-27.6,0.0,962.1,18,55
-17.5,-19.8,0.0,960.3,36,53
-19.4,-20.0,0.0,957.4,40,54
-19.5,-20.8,0.0,965.5,47,55
-18.6,-19.9,0.0,959.5,46,52
-18.7,-23.3,0.0,951.3,42,49
-20.6,-25.8,0.5,955.5,40,55
-19.8,-20.7,4.1,956.5,49,61
-18.7,-20.9,0.0,956.2,42,55
-18.6,-23.3,0.0,941.3,18,38
-23.7,-27.6,0.0,931.6,18,31
-23.2,-30.0,0.0,953.4,31,47
-21.1,-22.9,0.0,965.3,18,34
-21.8,-26.2,0.0,957.4,14,18
-24.3,-27.4,0.0,955.9,16,28
-20.6,-24.0,0.0,944.4,12,18
-20.8,-27.6,0.0,941.6,12,24
-27.4,-30.4,0.0,945.5,21,42
-27.3,-28.9,0.0,948.2,12,39
-27.5,-37.5,0.0,948.1,13,46
-28.3,-32.1,0.0,959.1,29,40
-27.2,-33.3,0.0,956.0,16,42
-28.3,-34.5,0.0,947.5,15,20
-31.2,-38.4,0.0,955.9,21,51
-34.8,-38.5,0.0,964.9,33,41
-28.3,-39.3,0.0,977.7,31,42
-25.6,-28.4,0.0,981.1,21,43
-25.7,-28.1,0.0,973.6,11,19
-24.8,-35.5,0.0,975.4,11,37
-23.9,-35.4,0.0,979.1,8,36
-19.6,-24.3,0.0,973.3,4,8
-19.9,-31.4,0.0,952.6,4,17
-20.9,-32.0,0.0,948.1,18,58
-14.2,-27.2,0.0,955.5,25,58
-15.4,-21.5,0.0,967.3,30,38
-14.6,-24.2,0.0,959.0,8,38
-15.2,-29.0,0.0,949.1,10,22
-28.0,-29.3,0.0,945.4,18,22
-26.5,-28.4,0.0,952.4,17,22
-26.2,-32.1,0.0,950.7,22,48
-30.0,-33.3,0.0,960.5,17,33
-26.1,-32.8,0.0,962.4,17,31
-23.6,-26.2,0.0,965.9,17,27
-22.6,-30.5,0.0,970.6,27,52
-26.3,-28.8,0.0,970.0,38,47
-26.5,-28.9,0.0,976.1,38,46
-26.2,-29.5,0.0,983.3,38,48
-26.5,-30.7,0.0,980.3,29,50
-26.4,-29.1,0.0,975.7,22,32
-25.0,-28.9,0.0,968.1,18,23
-26.9,-39.2,0.0,972.0,22,67
-35.1,-38.9,0.0,973.3,39,65
-34.8,-37.0,0.0,965.5,25,37
-31.6,-36.3,0.0,957.6,20,29
-33.3,-35.9,0.0,960.1,25,31
-33.0,-38.1,0.0,960.1,32,66
-21.8,-38.2,0.0,949.0,39,66
-21.0,-28.0,0.0,945.0,42,63
-23.7,-28.0,0.0,950.4,46,65
-24.5,-29.1,0.0,943.0,21,45
-24.9,-29.8,0.0,943.1,21,31
-29.5,-35.5,0.0,945.4,31,52
-32.4,-38.7,0.0,946.1,32,66
-29.1,-31.8,0.0,939.8,19,40
-28.6,-34.4,0.0,940.2,42,68
-30.2,-35.2,0.0,940.8,34,55
-27.1,-35.2,1.2,943.3,20,50
-25.3,-26.8,0.1,946.1,27,48
-25.1,-26.8,0.0,940.8,8,26
-26.3,-31.0,0.0,940.7,8,13
-26.2,-30.6,0.0,942.2,14,61
-21.6,-27.6,0.0,951.2,36,53
-19.6,-25.9,0.0,948.9,23,43
-19.1,-22.6,0.0,949.2,29,40
-21.5,-24.0,0.0,949.2,39,54
-20.7,-23.9,0.0,949.0,38,50
-24.4,-33.9,0.0,944.7,33,54
-29.7,-31.8,0.0,942.4,27,41
-28.5,-31.2,0.0,951.6,25,31
-26.9,-31.1,0.0,953.4,15,25
-18.2,-25.6,0.0,952.9,19,26
-22.5,-25.6,0.0,954.3,8,19
-25.4,-28.7,0.0,948.5,9,24
-27.2,-30.4,0.0,951.8,10,22
-27.0,-31.5,0.0,957.2,9,16
-25.2,-31.7,0.0,966.9,16,19
-21.5,-27.2,0.0,958.0,8,17
-25.4,-32.5,0.0,964.9,12,24
-30.3,-32.1,0.0,970.8,19,26
-29.6,-31.6,0.0,963.8,20,42
-30.2,-38.9,0.0,952.5,17,57
-29.9,-35.7,0.0,951.8,17,25
-33.7,-35.9,0.0,946.8,19,25
-27.7,-33.7,0.0,943.8,12,19
-26.8,-28.6,0.0,956.8,11,14
-27.1,-31.0,0.0,959.7,13,17
-27.7,-32.3,0.0,951.9,15,48
-27.8,-34.3,0.0,945.4,39,67
-27.2,-27.8,0.0,947.8,40,47
-19.7,-27.4,1.3,935.2,37,50
-15.8,-22.7,0.0,944.5,34,46
-19.1,-21.3,2.2,950.9,37,76
-17.0,-22.0,4.8,948.3,39,61
-15.7,-19.0,0.0,965.1,11,45
-19.5,-29.6,0.0,964.8,10,16
-29.7,-31.6,0.0,963.1,16,26
-24.4,-30.2,0.0,961.0,24,38
-23.7,-26.7,0.0,959.8,35,41
-19.5,-25.9,0.0,953.2,26,35
-18.8,-20.6,0.0,953.0,36,55
-17.2,-19.9,0.0,957.7,28,52
-19.6,-24.3,0.0,953.4,23,29
-18.2,-23.9,0.0,948.4,21,40
-19.0,-23.4,0.0,952.9,34,49
-22.6,-31.8,0.0,953.6,32,53
-26.7,-30.5,0.0,955.7,33,46
-26.2,-27.4,0.0,958.2,17,35
-27.4,-30.9,0.0,955.3,13,17
-30.0,-32.3,0.0,954.4,13,21
-24.9,-30.3,0.0,956.4,23,40
-20.6,-25.5,0.0,950.6,39,41
-18.1,-20.9,0.0,944.3,40,47
-20.5,-24.5,0.0,940.1,39,43
-21.9,-28.5,0.0,943.0,38,67
-22.0,-28.7,0.0,949.6,39,54
-25.2,-31.7,0.0,948.1,33,53
-24.9,-26.4,0.0,945.9,28,32
-26.5,-30.3,0.0,942.1,13,27
-28.1,-32.1,0.0,941.7,15,40
-22.1,-29.9,0.0,947.3,17,26
-21.7,-25.8,0.0,960.0,18,26
-18.4,-23.4,0.0,970.9,19,40
-21.7,-22.9,0.0,961.3,37,50
-21.5,-25.2,0.0,954.1,18,50
-22.0,-24.2,0.0,957.0,21,30
-23.8,-26.7,0.0,958.1,29,39
-25.6,-31.9,0.0,959.8,36,48
-28.6,-31.4,0.0,949.4,32,44
-27.0,-31.1,0.0,937.8,31,48
-25.7,-29.0,0.0,940.1,44,49
-24.9,-33.1,0.0,946.5,38,63
-21.9,-28.1,0.0,945.9,51,59
-16.0,-21.1,0.0,945.3,43,51
-17.6,-19.1,0.0,940.0,34,44
-12.9,-17.1,0.0,936.9,31,45
-11.9,-13.8,0.0,942.8,46,60
-13.6,-16.4,0.0,945.8,47,61
-15.7,-20.0,0.0,942.1,31,46
-18.9,-21.8,0.0,935.8,13,33
-19.9,-23.8,0.0,936.8,12,20
-18.9,-24.0,0.0,942.4,13,27
-19.2,-28.5,0.0,940.7,13,36
-18.3,-21.9,0.0,945.4,31,43
-18.6,-20.9,0.0,949.9,24,31
-17.9,-22.4,0.0,950.4,18,24
-18.8,-23.2,0.0,953.3,16,18
-22.2,-25.0,0.0,962.3,18,25
-21.0,-24.9,0.0,965.1,24,29
-20.1,-22.1,0.0,953.6,25,32
-19.5,-22.5,0.0,946.8,23,27
-15.0,-20.8,0.0,953.3,24,52
-14.3,-16.9,0.0,957.4,51,59
-13.9,-15.3,0.0,957.8,58,77
-14.1,-19.8,0.0,959.8,48,77
-19.1,-22.3,0.0,957.6,26,46
-20.2,-22.0,0.0,955.9,27,35
-18.9,-22.8,0.0,964.1,33,41
-20.6,-24.1,0.0,957.9,34,42
-19.5,-22.3,0.0,953.7,32,40
-18.6,-21.2,0.0,960.5,34,38
-17.7,-20.2,0.0,963.1,30,35
-17.1,-18.8,0.0,968.2,31,35
-13.8,-16.6,0.0,968.5,20,34
-13.5,-16.5,0.0,968.3,20,25
-15.2,-18.0,0.0,966.7,16,22
-15.1,-17.8,0.0,963.5,16,30
-13.4,-15.7,0.0,959.9,25,31
-13.2,-17.3,0.0,957.8,21,26
-13.2,-16.9,0.0,968.2,22,27
-12.1,-17.1,0.0,965.4,24,29
-14.6,-19.7,0.0,964.1,25,36
-13.4,-15.7,0.0,966.2,27,39
-12.1,-14.1,0.0,967.6,29,40
