TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
-12.0,-17.4,0.0,804.1,24,36
-15.4,-19.0,0.0,806.6,36,50
-15.7,-18.4,0.0,805.7,40,54
-15.3,-17.4,0.0,804.5,40,58
-15.7,-20.4,0.0,799.1,41,51
-15.6,-18.2,0.0,796.3,33,59
-13.7,-15.8,0.0,796.8,48,63
-13.5,-15.3,0.0,802.1,44,63
-14.5,-19.3,0.0,808.3,32,58
-14.6,-17.7,0.0,811.0,26,54
-12.2,-14.4,0.0,810.1,24,36
-11.1,-15.6,0.0,809.6,24,38
-12.3,-14.9,0.0,808.0,21,34
-12.9,-15.8,0.0,805.9,25,33
-13.3,-17.6,0.0,804.3,26,33
-15.6,-19.3,0.0,806.4,30,35
-15.3,-18.4,0.0,803.8,29,33
-13.5,-17.9,0.0,802.7,28,31
-16.9,-20.0,0.0,802.6,30,35
-17.7,-20.6,0.0,800.9,30,35
-17.1,-21.7,0.0,800.0,30,33
-19.4,-22.8,0.0,797.7,32,34
-19.0,-22.9,0.0,796.5,32,37
-18.7,-23.4,0.0,798.6,38,54
-20.8,-24.9,0.0,799.1,34,52
-21.4,-24.1,0.0,799.2,33,42
-19.5,-21.3,0.0,799.7,33,44
-18.0,-20.2,0.0,799.8,42,46
-18.3,-23.4,0.0,793.6,34,45
-20.6,-23.6,0.0,791.8,35,41
-20.3,-24.0,0.0,791.9,37,44
-20.0,-23.2,0.0,792.2,36,46
-16.8,-20.4,1.3,798.6,46,54
-16.7,-24.4,0.0,795.0,37,48
-22.0,-25.0,0.0,793.7,29,42
-21.6,-24.1,0.0,798.3,30,35
-17.6,-21.1,0.0,808.7,31,43
-17.0,-22.5,0.0,811.8,34,42
-19.7,-25.0,0.0,807.5,28,35
-20.8,-24.2,0.0,806.1,28,36
-21.0,-26.4,0.0,802.7,36,44
-22.2,-26.6,0.0,796.2,34,37
-21.7,-25.4,0.0,804.5,37,59
-20.8,-22.7,0.0,818.2,50,69
-20.2,-25.7,0.0,818.5,29,60
-22.6,-28.3,0.0,813.4,23,30
-26.6,-28.9,0.0,810.3,23,29
-24.9,-26.9,0.0,807.1,24,26
-15.1,-24.4,3.8,810.1,25,68
-10.4,-14.7,3.8,819.8,58,70
-8.9,-18.6,0.0,812.8,33,58
-17.0,-22.4,0.0,809.5,22,34
