TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
-0.4,-4.9,0.0,974.2,26,49
-2.4,-6.1,0.0,979.4,46,57
-2.9,-5.2,0.0,977.9,39,53
-2.6,-4.6,0.0,976.3,51,70
-3.7,-7.1,0.0,971.5,49,71
-1.9,-4.8,0.0,966.7,37,56
-1.4,-2.8,0.0,965.8,49,68
-1.1,-2.4,0.0,971.7,58,69
-1.3,-4.8,0.0,979.9,31,59
-2.2,-5.0,0.0,981.9,18,47
-1.4,-3.4,0.0,981.3,19,31
-1.0,-3.7,0.0,978.5,36,54
-2.5,-4.0,0.0,977.4,21,52
-2.8,-5.7,0.0,977.5,28,60
-3.3,-6.3,0.0,976.7,40,55
-3.6,-7.6,0.0,979.8,51,64
-5.4,-8.1,0.0,977.1,31,53
-4.1,-6.8,0.8,974.4,42,62
-6.6,-9.2,0.0,976.0,40,63
-6.4,-9.4,0.0,974.0,35,49
-5.9,-8.8,0.0,973.0,29,52
-6.2,-8.5,0.0,972.2,34,55
-5.3,-8.4,0.0,970.8,36,52
-6.2,-10.3,0.0,973.9,55,77
-8.9,-11.3,0.0,976.2,46,60
-8.8,-11.4,0.0,975.1,32,47
-6.3,-8.4,0.0,973.1,34,43
-5.4,-7.2,0.0,972.4,40,45
-5.3,-10.0,0.0,967.4,34,44
-7.5,-10.9,0.0,966.4,35,49
-7.8,-11.0,0.0,966.6,35,51
-7.3,-10.0,0.0,965.6,36,50
-5.4,-8.1,0.0,969.7,49,64
-4.8,-8.9,0.0,967.1,29,53
-8.0,-11.1,0.0,968.4,28,33
-8.4,-11.9,0.0,974.6,30,41
-5.7,-9.2,0.0,983.2,32,42
-4.7,-7.8,0.0,987.2,27,42
-5.7,-9.6,0.0,982.7,23,26
-7.2,-11.7,0.0,983.6,25,37
-9.3,-12.5,0.0,980.9,33,40
-9.3,-12.8,0.0,973.1,32,36
-9.0,-13.0,0.0,983.5,35,62
-9.1,-11.2,0.0,999.6,52,63
-9.5,-12.6,0.0,998.6,23,63
-11.0,-14.7,0.0,994.1,20,23
-13.8,-17.5,0.0,992.2,18,23
-11.7,-15.3,0.0,986.8,21,23
-3.6,-11.2,2.9,981.8,21,69
0.6,-3.4,4.5,990.8,54,75
2.0,-2.1,0.0,981.8,22,56
-2.2,-10.0,0.0,979.7,15,21
-9.8,-13.7,0.0,980.2,15,25
-10.7,-12.8,0.0,975.2,14,27
-12.1,-16.1,0.0,974.7,17,21
-14.2,-17.5,0.0,983.7,17,46
-14.5,-18.5,0.0,986.8,37,60
-14.1,-20.0,0.0,981.6,18,37
-14.2,-19.7,0.0,982.7,17,27
-16.9,-20.1,0.0,981.7,17,24
-16.7,-20.8,0.0,986.3,18,34
-17.8,-22.4,0.0,989.5,27,35
-20.3,-23.7,0.0,988.4,24,37
-18.0,-22.3,0.0,986.8,29,36
-16.5,-18.7,0.0,984.0,23,31
-17.3,-21.2,0.0,975.2,22,25
-18.2,-21.1,0.0,974.6,22,32
-17.2,-20.3,0.0,977.2,32,37
-18.6,-23.8,0.0,980.8,37,51
-15.4,-21.9,0.0,977.5,38,62
-11.5,-15.0,0.0,972.8,42,56
-10.4,-14.1,0.0,971.0,32,39
-10.9,-12.3,0.0,976.7,34,48
-11.3,-13.7,0.0,975.6,32,35
-12.5,-16.1,0.0,975.8,21,39
-15.7,-20.9,0.0,978.7,18,22
-19.7,-20.8,0.0,983.6,19,25
-19.6,-22.8,0.0,986.1,11,18
-22.8,-25.5,0.0,982.7,11,20
-23.5,-27.2,0.0,977.4,20,32
-25.3,-29.9,0.0,987.9,31,44
-24.1,-29.0,0.0,986.0,27,43
-18.4,-25.0,0.0,983.9,45,64
-18.2,-23.5,0.0,988.4,45,59
-23.0,-24.8,0.0,989.2,35,44
-19.2,-22.5,0.0,981.5,34,38
-17.5,-18.9,0.0,970.2,34,36
-15.0,-18.3,0.0,965.9,26,34
-10.2,-14.6,0.0,967.9,21,37
-9.8,-12.8,0.0,975.1,37,42
-12.9,-15.8,0.0,985.4,42,54
-13.8,-17.6,0.0,990.4,36,43
-17.6,-22.2,0.0,991.9,24,42
-22.1,-24.0,0.0,995.6,15,23
