TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
-1.5,-6.4,0.0,965.4,24,36
-4.3,-7.9,0.0,970.5,36,54
-4.8,-7.6,0.0,969.1,42,54
-3.7,-6.9,0.0,967.2,38,55
-5.0,-9.8,0.0,962.6,42,63
-4.4,-7.5,0.0,958.1,33,53
-2.9,-5.1,0.0,957.0,48,64
-2.2,-4.2,0.0,962.8,42,51
-3.4,-8.6,0.0,971.9,28,43
-4.3,-7.0,0.0,974.0,22,45
-2.0,-4.2,0.0,972.5,24,29
-1.0,-4.6,0.0,969.8,21,31
-2.8,-4.1,0.0,968.7,22,27
-3.7,-6.8,0.0,968.4,25,37
-3.8,-8.6,0.0,967.6,27,37
-5.5,-9.4,0.0,970.7,30,42
-6.3,-9.3,0.0,968.1,30,37
-4.2,-8.1,0.0,965.4,28,36
-6.9,-10.2,0.0,967.1,28,40
-7.6,-10.4,0.0,965.3,30,36
-6.9,-11.5,0.0,964.3,30,34
-9.0,-12.5,0.0,963.2,32,39
-8.3,-12.4,0.0,961.6,32,38
-8.2,-13.2,0.0,964.4,36,53
-10.2,-15.6,0.0,966.5,31,48
-11.5,-14.7,0.0,965.9,34,52
-9.7,-11.9,0.0,964.2,36,48
-8.2,-10.7,0.0,963.5,43,50
-8.4,-13.5,0.0,958.6,33,44
-10.8,-14.1,0.0,957.3,38,50
-9.7,-14.2,0.0,957.6,38,57
-9.8,-12.8,0.0,956.6,36,44
-6.7,-9.4,0.0,960.8,41,51
-6.5,-13.2,0.0,959.0,33,41
-11.8,-15.3,0.0,959.9,29,34
-11.8,-14.8,0.0,965.3,31,38
-8.2,-11.8,0.0,974.4,34,41
-6.8,-11.2,0.0,978.4,29,41
-9.1,-14.0,0.0,974.7,27,31
-10.9,-14.9,0.0,974.2,29,42
-11.8,-17.7,0.0,971.7,36,51
-12.5,-17.1,0.0,964.3,34,37
-11.2,-14.6,0.0,974.0,38,62
-11.2,-12.6,0.0,990.0,57,80
-11.2,-15.6,0.0,990.1,27,67
-12.9,-18.1,0.0,985.7,23,26
-16.7,-20.4,0.0,983.2,23,27
-15.6,-18.5,0.0,977.4,25,27
-4.9,-14.9,4.0,972.6,24,69
-1.3,-4.6,6.3,981.5,52,77
0.5,-6.2,0.0,973.1,25,53
-6.1,-12.1,0.0,972.2,18,25
-11.8,-14.6,0.0,972.5,18,21
-13.0,-16.0,0.0,967.9,18,25
-14.4,-19.3,0.0,966.4,20,25
-17.0,-20.1,0.0,974.1,21,62
-17.7,-23.6,0.0,977.7,31,80
-17.6,-23.2,0.0,973.6,19,32
-16.1,-22.6,0.0,974.4,20,28
-18.0,-22.1,0.0,973.4,19,27
-18.8,-23.0,0.0,977.6,20,31
-20.5,-23.9,0.0,980.8,25,32
-22.4,-25.8,0.0,979.0,25,34
-22.6,-26.6,0.0,977.4,33,41
-21.5,-25.3,0.0,975.0,28,38
-22.1,-25.2,0.0,966.7,25,28
-21.9,-27.9,0.0,964.7,25,45
-23.2,-27.1,0.0,967.4,36,42
-24.3,-29.2,0.0,971.1,39,53
-19.3,-23.3,0.0,968.1,36,78
-16.2,-18.8,0.0,963.5,46,69
-14.9,-18.0,0.0,962.5,30,42
-13.9,-18.1,0.0,967.7,36,48
-17.1,-19.7,0.0,967.6,32,36
-16.9,-19.0,0.0,968.0,19,36
-18.8,-25.1,0.0,969.9,19,25
-23.4,-25.0,0.0,974.9,16,25
-23.4,-27.0,0.0,978.1,15,17
-25.5,-27.0,0.0,973.9,15,23
-25.0,-29.4,0.0,968.0,24,35
-28.1,-34.7,0.0,977.1,36,58
-23.0,-31.2,0.0,977.1,26,44
-19.8,-24.7,0.0,974.1,46,75
-19.7,-27.0,0.0,977.8,31,58
-23.9,-26.2,0.0,978.9,28,40
-20.6,-25.0,0.0,970.8,40,47
-18.6,-21.0,0.0,960.6,32,43
-17.1,-18.2,0.0,956.8,28,33
-12.1,-17.3,0.0,959.0,24,40
-11.8,-17.2,0.0,966.1,38,41
-15.6,-18.3,0.0,975.8,42,54
-16.3,-22.1,0.0,981.2,36,43
-21.6,-25.6,0.0,983.3,22,36
-24.9,-25.7,0.0,987.3,18,21
-24.8,-26.9,0.0,985.6,19,22
-24.1,-28.4,0.0,979.9,20,23
-28.6,-31.0,0.0,976.6,21,26
-29.9,-33.8,0.0,978.5,22,34
-29.7,-33.1,0.0,980.2,26,58
-29.6,-33.8,0.0,982.5,24,61
-29.0,-30.9,0.0,971.9,23,28
-20.3,-30.6,0.0,966.0,28,41
-19.5,-27.3,0.0,964.0,18,41
-27.5,-33.0,0.0,961.7,17,22
-31.1,-33.1,0.0,961.7,22,48
-25.1,-34.3,0.0,966.7,50,72
-26.0,-30.0,0.0,972.3,25,59
-24.8,-28.8,0.0,968.3,30,44
-20.3,-24.8,0.0,965.2,31,37
-18.3,-22.4,0.0,964.9,36,49
-22.7,-27.7,0.0,963.3,28,48
-12.0,-26.6,0.0,953.5,28,43
-15.4,-22.4,0.0,952.5,29,40
-16.2,-23.0,0.0,960.8,27,44
-10.7,-23.1,0.0,944.9,25,53
-11.0,-19.5,0.0,952.2,40,52
-19.9,-29.5,0.0,959.3,49,69
-18.0,-26.2,0.0,969.7,53,60
-19.8,-28.6,0.0,974.4,31,53
-28.6,-31.6,0.0,972.7,35,46
-31.8,-33.9,0.0,979.6,27,54
-27.0,-32.1,0.0,976.1,24,64
-28.2,-30.4,0.0,962.2,30,65
-26.2,-30.5,0.0,956.8,25,30
-20.5,-25.8,0.0,948.6,24,32
-19.4,-23.8,0.0,955.8,25,41
-17.5,-25.3,0.0,959.9,23,37
-8.8,-22.3,0.0,955.5,23,48
-8.5,-16.1,0.0,976.7,29,43
-15.6,-17.7,0.0,982.0,13,24
-16.1,-22.0,0.0,980.0,14,35
-13.3,-19.0,0.0,977.3,24,34
-16.7,-20.9,0.0,974.6,15,23
-20.0,-27.9,0.0,975.4,13,20
-19.3,-27.6,0.0,976.7,22,60
-19.0,-23.2,0.0,975.1,38,61
-19.5,-21.2,0.0,972.2,44,66
-17.8,-21.6,0.0,979.7,44,68
-17.3,-19.4,0.0,973.4,42,47
-19.5,-28.7,0.0,965.4,40,55
-21.5,-27.5,0.5,969.6,46,64
-17.7,-21.2,3.4,971.3,37,63
-17.5,-19.3,0.0,971.0,36,41
-19.3,-26.9,0.0,957.7,22,34
-26.9,-30.6,0.0,947.9,22,29
-26.0,-32.6,0.0,967.7,31,46
-21.6,-25.4,0.0,980.1,22,40
-23.5,-29.7,0.0,972.6,17,21
-22.9,-31.9,0.0,970.2,20,43
-21.0,-25.4,0.0,959.2,17,25
-25.4,-27.7,0.0,957.0,17,36
-27.1,-36.3,0.0,960.2,38,70
-28.7,-35.9,0.0,963.9,14,54
-28.7,-34.8,0.0,962.8,15,46
-30.0,-31.8,0.0,973.6,38,60
-27.7,-33.1,0.0,972.6,17,32
-27.8,-36.5,0.0,963.4,16,21
-34.5,-37.2,0.0,970.8,22,52
-35.7,-43.1,0.0,979.1,46,52
-29.7,-41.7,0.0,992.2,34,49
-28.2,-30.2,0.0,995.3,25,51
