TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
7.3,-2.3,10.8,564.5,50,87
6.4,-1.5,7.8,565.4,45,91
7.4,-3.6,0.0,564.2,42,97
5.7,-1.1,12.0,564.1,83,97
4.0,-2.0,5.9,563.0,92,99
4.7,-3.1,1.4,562.1,55,99
6.0,-5.6,1.7,562.3,47,97
7.1,-4.7,1.3,563.1,54,99
6.3,-1.7,5.6,563.6,80,99
5.6,-2.3,2.9,561.8,62,99
4.6,-4.4,0.0,560.5,47,89
5.4,-6.8,0.0,561.3,38,88
5.5,-5.5,0.0,561.9,39,81
5.4,-4.9,0.0,562.7,41,90
6.1,-6.0,0.0,562.9,29,84
7.8,-5.5,0.0,564.3,22,75
8.7,-5.5,0.0,563.7,18,69
8.3,-4.4,0.0,563.1,19,64
7.6,-5.0,0.0,562.2,17,62
7.4,-5.1,0.0,561.6,18,71
7.4,-4.6,0.0,562.1,24,69
6.8,-5.0,1.7,561.5,27,78
7.7,-3.2,0.0,562.0,13,82
10.5,-6.1,0.0,562.3,17,73
8.5,-2.5,8.8,564.0,28,75
9.5,-2.7,8.0,564.1,32,97
8.3,-3.2,2.1,563.6,41,88
8.5,-2.3,2.0,563.3,50,99
7.4,-0.4,5.0,563.8,70,99
3.6,-0.5,12.6,563.0,86,99
6.8,-1.3,3.4,562.7,67,97
7.1,-1.1,3.0,563.6,56,99
7.2,-5.6,1.0,562.2,40,96
7.3,-2.6,4.8,562.6,46,74
7.2,-2.0,10.4,563.5,60,92
8.9,0.0,8.2,564.3,68,95
8.6,-0.3,4.4,564.6,63,99
8.5,-0.7,4.4,564.2,77,98
9.4,-1.7,4.0,564.1,75,99
4.1,-0.2,15.9,564.4,77,98
6.4,-1.2,4.1,565.1,69,93
5.3,-1.0,9.9,563.5,78,98
1.5,-1.6,12.7,561.3,94,99
4.9,-4.2,0.2,561.9,75,99
4.3,-1.9,6.9,562.3,79,99
6.8,-1.5,0.2,563.3,75,98
7.6,-0.7,1.6,564.0,71,97
7.1,-0.6,1.9,563.5,71,98
6.4,-0.4,5.3,562.5,74,97
5.9,-1.7,7.9,561.8,77,99
2.7,-1.8,7.9,561.0,92,98
4.6,-3.3,1.9,561.3,76,99
4.7,-3.0,1.2,560.8,77,98
4.1,-4.6,1.7,561.0,65,99
4.4,-3.4,2.5,561.1,67,97
5.3,-4.5,0.0,561.3,56,99
7.8,-5.7,0.3,562.0,30,91
5.6,-4.1,2.6,562.1,48,84
6.1,-4.9,1.1,561.1,57,98
7.4,-4.5,1.1,561.4,52,91
7.3,-5.3,6.0,562.1,55,97
5.7,-1.6,6.7,564.3,62,93
8.0,-2.9,8.2,564.2,73,97
5.6,-2.0,1.4,563.7,60,97
5.4,-1.2,0.4,563.4,64,99
6.8,-5.3,6.8,562.5,62,99
7.1,-2.3,7.9,565.0,59,98
8.1,-1.9,0.2,567.2,32,90
8.1,-5.7,0.1,564.5,31,74
6.8,-2.8,0.3,562.9,45,74
5.9,-4.0,6.3,563.1,65,97
6.1,-2.3,4.0,563.0,68,96
4.6,-5.1,0.6,561.7,54,97
5.5,-7.3,2.7,562.1,49,97
5.6,-3.3,7.7,564.6,65,94
5.2,-3.9,0.5,564.4,58,98
6.9,-5.3,0.1,563.6,53,86
7.3,-1.6,0.0,563.8,43,80
7.9,-4.3,0.0,562.5,33,74
8.1,-4.4,0.0,562.4,38,67
8.7,-2.9,0.0,563.9,28,74
7.5,-0.9,0.0,563.2,26,51
5.5,-3.4,0.0,561.3,40,71
5.7,-3.5,0.0,561.5,43,77
6.6,-7.3,0.0,561.3,38,95
5.7,-5.8,0.0,561.7,37,86
5.1,-6.4,0.0,561.9,42,95
4.8,-7.8,0.0,561.1,41,94
5.4,-6.4,0.0,561.8,35,83
6.7,-4.6,2.3,564.3,42,84
6.3,-3.5,0.0,565.0,29,70
5.8,-3.4,0.0,563.6,22,61
6.6,-5.1,0.0,562.6,22,53
6.5,-3.4,0.0,563.0,21,43
7.0,-3.0,0.0,563.0,19,53
7.9,-3.7,0.0,562.8,22,51
7.7,-3.3,0.0,564.5,28,70
8.2,-2.3,0.0,564.3,21,48
7.2,-2.8,0.0,563.0,19,48
4.8,-4.6,0.0,559.8,31,78
3.3,-6.1,0.0,559.3,39,98
5.9,-7.5,0.0,560.0,30,87
1.1,-2.8,10.3,561.8,56,95
-1.4,-6.3,0.0,560.2,76,98
1.7,-10.0,0.0,559.3,21,97
3.3,-8.1,0.0,559.2,28,60
4.6,-7.8,0.0,560.5,29,76
5.8,-7.8,0.0,560.6,26,67
6.4,-4.8,0.0,562.2,39,69
6.7,-4.1,0.0,562.9,33,71
5.3,-3.2,0.0,562.1,31,58
6.1,-4.0,0.0,562.6,18,64
5.8,-2.9,0.0,563.2,18,29
5.3,-3.2,0.0,562.2,22,45
3.2,-5.1,0.0,559.6,30,56
-0.9,-7.3,3.2,556.0,59,95
-0.9,-10.0,0.2,555.2,34,96
-1.7,-11.7,0.0,554.1,31,69
-1.5,-10.6,0.0,554.5,32,79
0.6,-8.3,0.0,556.9,25,55
4.0,-10.2,0.0,558.8,20,55
4.1,-8.3,0.0,558.7,17,46
4.2,-7.9,0.0,559.3,18,35
4.6,-7.0,0.0,561.5,28,39
4.2,-5.9,0.0,561.8,23,48
5.8,-7.3,0.0,562.2,22,41
6.4,-6.3,0.0,562.5,20,43
7.2,-4.6,0.0,563.1,15,31
6.1,-2.8,0.0,563.5,17,38
4.4,-3.1,0.0,561.9,19,31
2.4,-5.6,0.0,559.0,18,41
0.3,-7.5,0.0,556.9,25,39
0.8,-8.4,0.0,557.2,19,41
-1.6,-9.6,0.0,554.6,29,68
1.1,-10.0,0.0,556.0,11,78
0.7,-7.3,0.0,558.3,13,38
1.9,-7.3,0.0,558.7,13,52
3.0,-6.6,0.0,559.2,8,29
1.8,-6.8,0.0,558.6,10,30
3.1,-7.7,0.0,558.6,8,36
2.0,-6.1,0.0,559.2,10,25
2.6,-7.0,0.0,559.3,7,34
1.6,-5.2,0.0,559.9,10,27
0.5,-7.7,0.0,558.5,16,35
1.8,-7.1,0.0,559.6,15,40
2.0,-6.3,0.0,560.2,13,33
2.7,-6.4,0.0,560.7,13,29
4.6,-4.5,0.0,562.1,14,25
6.2,-3.7,0.0,563.5,9,24
6.9,-6.7,0.0,562.8,7,22
7.2,-2.3,0.0,563.4,6,20
5.6,-1.4,0.0,563.3,6,11
7.6,-2.8,0.0,563.6,7,13
7.3,-2.5,0.0,564.9,11,19
4.9,-2.0,0.0,562.6,5,23
1.2,-5.7,0.0,557.6,13,26
-0.6,-9.1,0.0,555.2,14,37
1.1,-7.5,0.0,556.9,8,45
1.5,-6.1,0.0,558.4,10,22
-0.3,-7.2,0.0,557.5,23,41
-0.6,-8.2,0.0,556.7,24,55
1.8,-10.6,0.0,557.8,8,59
1.9,-5.6,0.0,559.5,8,23
-0.2,-8.0,0.0,558.0,14,67
-0.3,-9.5,0.0,558.1,28,69
1.4,-9.6,0.0,558.9,14,53
0.2,-8.1,0.0,559.7,15,39
0.2,-9.3,0.0,557.8,13,32
-2.0,-10.0,0.0,554.7,25,44
-0.9,-12.0,0.0,553.9,13,46
-4.2,-10.8,0.1,552.6,35,85
-5.4,-11.8,0.1,553.1,51,90
-2.9,-13.7,0.0,554.2,8,86
-0.2,-11.0,0.0,556.2,7,14
1.7,-11.7,0.0,556.8,5,11
-0.8,-9.9,0.0,557.5,6,12
0.0,-13.2,0.0,556.5,5,15
0.7,-9.1,0.0,558.3,7,16
0.7,-9.6,0.0,558.4,8,19
3.0,-5.7,0.0,560.9,9,17
4.3,-5.4,0.0,561.0,8,13
5.7,-5.2,0.0,560.0,5,11
5.3,-3.6,0.0,560.9,6,10
3.4,-4.3,0.0,561.4,8,21
2.3,-5.4,0.0,559.2,15,21
-1.6,-9.0,0.0,553.9,23,62
-3.7,-10.9,0.6,551.0,35,75
-4.1,-14.7,0.9,551.7,21,86
-0.5,-13.4,0.0,554.7,9,39
-1.5,-11.3,0.0,554.8,5,23
-3.4,-7.6,1.4,556.7,25,61
-2.0,-8.0,0.0,557.3,55,88
-1.2,-9.0,0.0,556.9,37,84
0.3,-11.4,0.0,556.4,17,65
2.9,-8.4,0.0,558.0,8,34
2.3,-6.8,0.0,559.6,12,43
-1.6,-9.5,0.0,556.9,29,55
-0.2,-9.6,0.0,556.5,12,41
1.1,-14.0,0.0,556.2,4,27
2.8,-10.4,0.0,558.9,4,14
4.2,-11.1,0.0,559.2,5,20
5.1,-5.4,0.0,561.4,8,22
5.1,-3.1,0.0,561.3,5,20
6.6,-3.6,0.0,561.6,3,13
4.0,-2.6,0.0,562.0,3,12
3.2,-4.6,0.0,561.7,9,18
2.0,-5.6,0.0,559.2,8,20
0.6,-8.9,0.0,556.5,10,31
1.3,-7.8,0.0,557.9,9,42
-0.0,-8.1,0.0,556.7,15,35
0.2,-10.3,0.0,555.4,16,39
0.3,-9.4,0.0,556.5,13,35
0.5,-11.2,0.0,557.0,14,47
1.9,-7.7,0.0,559.0,9,40
1.8,-8.7,0.0,557.6,20,46
3.2,-7.4,0.0,558.6,19,52
5.2,-4.6,0.0,561.9,9,48
7.3,-3.0,0.0,564.6,14,25
5.9,-2.1,0.0,563.6,15,42
4.6,-6.2,0.0,560.5,10,47
6.2,-3.9,0.0,563.2,4,24
6.3,-1.8,0.0,564.2,7,10
6.0,-3.0,0.0,563.4,7,27
3.5,-4.3,0.0,560.7,12,36
2.5,-7.9,0.0,559.4,5,55
3.9,-7.5,0.0,560.6,2,18
0.8,-6.3,0.0,558.4,10,33
1.6,-9.3,0.0,556.7,12,47
1.2,-8.4,0.0,556.7,11,38
-2.7,-12.4,0.0,553.7,14,65
1.1,-10.8,0.0,557.0,4,34
0.8,-6.6,0.0,559.5,8,29
2.0,-7.8,0.0,560.1,6,41
3.7,-6.0,0.0,560.8,4,18
4.2,-5.2,0.0,561.0,3,20
2.7,-5.8,0.0,560.0,9,33
2.8,-6.2,0.0,559.5,8,22
4.6,-7.6,0.0,559.6,7,24
3.8,-5.4,0.0,560.6,14,34
2.9,-7.3,0.0,560.2,6,58
6.2,-6.0,0.0,562.3,3,19
8.1,-3.7,0.0,563.3,3,20
7.7,-2.5,0.0,563.9,6,19
8.0,-5.0,0.0,563.7,9,37
7.0,-4.1,0.0,563.1,10,31
6.6,-7.1,0.0,562.9,15,41
5.8,-4.6,0.0,564.3,12,36
7.2,-4.9,0.0,564.3,12,34
7.2,-2.8,0.0,564.4,14,28
7.2,-5.0,0.0,562.5,8,46
7.3,-3.2,0.0,562.9,4,24
9.2,-3.8,0.0,564.5,5,34
8.7,-1.7,0.0,564.9,10,23
8.9,-2.3,0.0,564.6,4,30
10.0,-1.8,0.0,565.2,4,23
10.4,-1.5,0.0,565.1,5,17
9.2,-1.1,0.0,565.2,9,21
8.6,-2.9,0.0,564.8,9,24
6.9,-2.2,0.0,564.7,11,26
5.9,-2.8,0.0,563.9,13,26
4.9,-4.7,0.0,562.2,14,35
0.7,-7.6,0.0,558.9,18,66
2.8,-9.1,0.0,558.7,8,45
2.9,-6.9,0.0,558.5,12,39
4.5,-8.1,0.0,559.3,3,38
6.7,-4.5,0.0,561.3,4,13
5.0,-5.8,0.0,560.9,9,29
5.8,-6.4,0.0,561.2,6,34
8.1,-4.4,0.0,563.3,4,24
8.4,-6.3,0.0,563.8,5,22
6.3,-4.1,0.0,562.7,9,36
4.9,-6.2,0.0,561.8,9,36
6.7,-4.7,0.0,562.3,6,31
7.4,-3.3,0.0,563.3,4,25
7.7,-3.7,0.0,562.0,2,19
5.1,-6.2,0.0,560.7,13,50
6.7,-5.5,0.0,562.2,4,36
5.3,-5.7,0.0,561.9,7,34
4.8,-6.3,0.0,559.5,9,32
4.8,-6.5,0.0,558.8,4,28
5.0,-6.8,0.0,559.8,10,36
6.5,-5.9,0.0,562.1,9,33
5.1,-6.2,0.0,561.3,12,39
6.0,-5.8,0.0,560.7,10,34
4.6,-8.0,0.0,559.5,11,44
6.1,-7.7,0.0,560.6,4,33
7.6,-5.0,0.0,562.7,12,29
6.8,-4.0,0.0,562.6,20,45
6.4,-6.5,0.0,561.9,4,51
8.0,-4.4,0.0,563.6,3,28
8.6,-2.4,0.0,564.3,4,17
8.3,-3.9,0.0,563.6,5,33
7.8,-4.4,0.0,562.4,8,46
8.4,-4.8,0.0,562.2,8,44
7.4,-6.6,0.0,561.1,9,60
5.6,-7.9,0.0,558.4,9,42
7.2,-6.1,0.0,559.7,6,33
8.0,-5.2,0.0,561.3,5,35
9.0,-4.1,0.0,562.9,5,32
9.8,-2.3,0.0,564.0,8,19
11.4,-1.1,2.4,565.6,11,26
9.4,-1.1,3.0,565.4,21,60
10.2,-2.0,0.5,565.5,20,44
8.9,-1.5,0.3,564.8,21,48
9.1,-3.6,0.0,564.0,7,36
8.9,-3.6,0.0,563.4,7,29
9.1,-4.6,0.0,563.3,6,44
10.6,-4.4,0.0,563.4,4,25
10.8,-3.0,0.0,563.7,5,14
10.0,-3.1,0.0,563.6,7,25
8.8,-4.4,0.0,562.4,6,33
8.0,-6.5,0.0,561.7,6,50
9.0,-5.8,0.0,561.4,8,62
8.9,-6.0,0.0,561.6,7,53
10.0,-4.2,0.0,562.9,4,30
12.1,-3.2,0.0,565.2,4,21
12.5,-0.6,0.0,566.5,6,15
11.3,-0.3,0.0,566.4,9,17
10.4,-1.6,0.0,565.1,6,25
8.5,-2.0,0.0,563.8,8,30
7.9,-4.2,0.0,562.9,11,68
8.9,-5.7,0.0,563.8,6,71
9.4,-3.9,0.0,564.4,4,29
10.1,-4.1,0.0,563.8,5,27
10.8,-3.7,0.0,563.9,5,26
8.2,-2.3,2.0,563.3,10,34
8.8,-3.7,0.0,563.1,15,59
8.8,-5.0,0.0,563.1,5,41
9.9,-4.2,0.0,563.5,6,23
9.2,-4.1,0.0,563.6,9,40
9.9,-3.7,0.0,564.5,4,26
11.4,-1.7,0.0,565.2,4,23
9.0,-2.7,0.0,563.1,8,44
7.4,-3.0,0.0,563.4,15,34
9.0,-4.6,0.0,563.8,6,33
11.8,-4.3,0.0,564.6,7,40
12.0,-1.3,0.0,564.7,8,22
11.7,-1.8,0.0,564.3,15,43
12.5,-3.0,0.4,564.8,18,54
11.4,-1.4,5.5,564.7,27,60
9.9,-1.2,2.7,563.1,29,79
11.3,-2.0,7.1,563.0,29,75
8.4,-0.1,9.2,565.7,64,99
9.3,0.1,9.4,567.0,51,92
8.3,-1.6,2.4,564.2,46,97
8.2,-1.1,4.5,562.7,40,81
8.2,-4.7,0.0,562.5,31,89
7.7,-4.4,1.9,563.0,39,87
8.1,-5.6,0.4,562.5,41,89
9.0,-4.3,2.3,562.5,31,82
10.2,-3.6,0.0,562.9,21,67
9.2,-3.8,5.1,562.9,29,67
8.5,-2.4,0.7,561.9,35,82
6.3,-2.7,0.0,561.3,48,96
8.1,-4.7,0.0,561.7,28,88
11.7,-5.2,0.0,563.3,16,86
11.4,-2.5,0.7,565.2,23,77
10.5,-0.1,4.2,564.9,31,65
10.1,-0.7,3.3,564.8,31,77
10.7,-1.6,0.3,563.8,15,67
11.0,-1.9,0.3,563.2,15,56
9.8,-2.9,0.0,562.9,9,75
9.7,-4.0,0.0,561.9,9,73
9.1,-4.1,0.0,561.9,9,61
9.3,-4.5,0.0,563.4,7,60
9.7,-4.2,0.0,564.0,9,62
9.3,-3.9,1.2,564.4,17,49
10.3,-3.6,0.0,564.6,11,53
11.3,-2.4,0.0,566.1,6,43
12.3,-1.3,0.0,567.4,4,30
11.9,0.8,0.0,566.8,6,24
9.5,0.2,0.0,564.4,16,39
9.7,-3.9,0.0,562.0,6,35
11.3,-4.0,0.1,564.5,15,31
10.7,-0.1,3.9,566.4,22,74
4.9,0.8,12.3,566.4,69,94
7.8,0.4,7.2,565.8,55,98
9.3,-0.7,7.3,564.3,70,94
6.4,-0.4,15.7,564.8,78,98
6.8,-0.8,8.1,565.3,68,96
5.9,-0.5,8.2,563.8,75,97
7.0,-1.2,0.9,562.7,48,99
6.1,-2.2,6.2,562.7,55,89
6.5,-1.5,15.0,564.7,70,98
4.6,-1.1,21.3,564.2,80,98
2.8,-1.3,11.8,563.1,86,97
4.4,-4.3,0.3,562.9,48,98
5.6,-9.5,0.0,562.4,39,80
5.1,-3.9,1.0,564.2,40,69
4.7,-5.0,0.0,563.9,31,66
4.8,-6.4,0.3,562.9,37,84
6.1,-5.8,0.1,563.2,28,77
6.2,-4.9,0.0,564.1,28,65
7.3,-5.4,0.2,565.4,28,70
6.4,-3.2,1.2,566.2,27,66
6.3,-2.9,6.4,565.1,35,80
7.0,-6.8,0.8,562.9,36,87
7.4,-3.2,1.0,564.6,34,76
10.3,-4.7,0.2,566.3,27,81
10.6,-2.4,1.8,567.7,35,86
10.7,-2.2,2.8,566.1,38,98
8.3,-4.3,6.8,564.5,58,97
7.5,-0.7,9.9,564.8,68,99
5.6,-1.6,11.7,563.7,74,98
5.4,-2.5,6.7,562.1,76,98
4.2,-1.9,5.3,561.8,79,98
2.1,-3.5,0.3,561.1,60,97
3.8,-5.5,2.1,560.9,58,92
5.5,-5.1,4.5,560.5,66,96
6.1,-5.1,2.8,561.6,64,97
6.0,-3.1,4.0,562.9,69,97
5.7,-3.9,1.2,563.2,57,97
6.5,-7.1,0.1,562.3,35,93
6.7,-4.9,0.7,562.6,40,78
6.7,-5.0,2.2,563.1,40,97
7.8,-3.7,0.3,563.2,37,82
8.2,-3.3,0.0,562.8,23,70
9.0,-4.3,5.1,563.7,28,57
8.9,-3.3,3.1,565.1,36,98
9.5,-2.8,0.0,565.2,49,99
9.4,-3.7,2.8,565.0,51,94
