TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
23.0,8.1,0.0,748.2,13,48
22.5,11.2,0.0,749.6,18,42
22.7,11.0,0.6,749.3,27,62
20.7,10.8,11.1,749.8,41,84
17.8,10.1,5.4,748.7,57,95
19.6,8.1,0.9,747.4,42,98
21.3,6.9,0.0,747.1,31,88
20.8,7.9,0.0,747.7,32,83
20.2,8.2,0.0,747.8,31,86
21.4,7.2,0.0,747.1,23,86
20.5,7.2,0.0,746.1,17,79
22.0,5.9,0.0,746.2,16,67
22.8,5.3,0.0,747.2,12,64
22.1,7.2,0.0,748.6,12,59
21.9,5.2,0.0,748.5,11,58
21.6,4.2,0.0,749.0,12,47
23.1,5.3,0.0,748.1,10,47
22.5,6.0,0.0,747.2,14,59
22.0,5.7,0.0,746.4,10,51
20.6,5.8,0.0,746.1,20,55
20.5,5.4,0.0,747.1,18,58
21.6,5.0,0.0,746.0,12,60
20.9,6.8,0.0,747.0,16,64
23.2,5.6,0.0,746.9,14,74
22.2,6.4,0.0,746.7,20,66
22.2,9.7,0.0,747.2,24,66
22.1,10.4,0.0,746.9,25,65
21.3,9.8,0.0,747.2,28,71
20.2,10.3,0.0,747.4,31,66
20.3,9.0,0.0,747.5,28,79
22.2,7.8,0.0,747.4,25,82
23.7,8.7,0.0,747.1,21,69
23.5,7.5,0.0,746.7,21,80
23.1,9.3,0.0,745.9,25,68
22.4,9.7,0.0,746.4,26,69
22.6,12.3,0.9,746.5,26,62
22.5,11.7,0.2,747.3,32,78
20.4,11.7,1.2,747.7,43,84
22.0,10.8,0.7,747.8,40,98
22.6,10.6,0.0,748.4,34,90
21.3,11.4,0.0,748.4,39,88
19.0,11.0,1.2,748.0,49,91
16.7,10.2,2.8,747.3,55,91
17.7,9.9,0.7,746.8,49,97
19.0,9.0,0.0,747.3,36,90
19.3,8.3,0.0,748.1,38,89
18.9,9.4,0.0,747.9,40,85
19.7,9.8,0.0,747.2,37,82
20.3,10.2,0.1,746.8,35,75
21.4,7.8,0.0,745.9,33,94
19.2,9.7,0.1,746.7,35,84
20.1,7.6,0.0,747.0,30,96
20.1,9.1,0.0,746.9,24,75
19.8,5.8,0.0,746.0,24,77
19.8,6.1,0.0,746.5,19,77
21.8,4.0,0.0,746.6,16,69
23.2,7.8,0.0,746.7,22,60
21.9,9.3,0.0,747.0,31,72
21.9,7.8,0.0,747.0,24,79
21.6,6.8,0.0,746.7,27,85
22.8,9.8,0.0,746.8,29,72
22.9,10.9,0.0,747.3,26,66
22.8,9.3,0.0,747.3,29,74
