TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
24.0,11.3,0.0,985.1,34,72
27.0,9.7,0.0,982.3,20,79
28.2,12.1,0.0,982.4,27,73
23.0,12.1,0.0,985.1,28,96
22.2,8.9,0.0,986.0,28,67
24.2,7.4,0.0,984.6,19,47
28.6,11.5,0.0,983.6,22,59
29.9,14.4,0.0,983.6,12,51
29.2,13.5,0.0,983.2,26,74
30.0,13.7,0.0,983.2,29,53
31.3,14.6,0.0,983.0,15,50
31.9,13.1,0.0,982.4,10,46
31.8,15.2,0.0,981.6,14,39
28.0,14.7,0.0,982.5,19,58
20.7,10.4,0.0,986.1,17,62
20.8,7.6,0.0,984.6,23,39
23.1,7.6,0.0,983.7,15,38
24.7,9.3,0.0,983.3,18,50
25.2,10.3,0.0,982.0,18,43
29.5,13.1,0.0,978.5,13,39
19.1,7.0,0.0,985.3,22,70
15.3,3.1,0.0,986.8,15,35
18.7,2.2,0.0,985.6,11,36
20.4,2.9,0.0,987.3,16,36
18.5,3.1,0.0,987.4,16,43
19.6,2.5,0.0,986.9,14,47
21.1,4.9,0.0,985.5,16,48
24.2,5.1,0.0,982.7,15,60
27.2,8.9,0.0,982.2,17,40
25.3,12.1,0.0,984.2,32,64
28.7,12.4,0.0,982.6,15,65
28.5,13.9,0.0,980.4,23,77
29.5,14.9,0.0,982.0,24,80
20.7,10.4,0.0,989.5,21,53
19.9,7.3,0.0,988.8,7,30
20.8,4.7,0.0,987.6,22,42
21.6,6.6,0.0,987.9,24,65
23.6,7.5,0.0,987.2,21,83
25.5,8.7,0.0,985.4,26,62
26.7,11.5,0.0,983.7,18,54
29.3,11.5,0.0,982.2,14,53
30.6,11.5,0.0,982.6,13,49
24.7,12.3,0.0,985.5,14,62
24.0,9.0,0.0,986.0,11,55
25.5,9.4,0.0,985.6,11,38
27.6,10.1,0.0,983.6,16,51
31.7,13.5,0.0,977.6,16,42
35.0,17.3,0.0,974.7,17,81
35.5,18.5,0.0,976.0,15,68
31.2,14.8,0.0,980.8,24,59
24.7,14.2,0.0,986.1,20,44
21.5,10.5,0.0,987.7,19,44
21.1,7.4,0.0,986.8,11,38
21.4,6.8,0.0,985.8,10,21
24.8,9.0,0.0,981.0,12,28
32.8,13.3,0.0,973.8,14,36
25.9,14.5,0.0,979.2,23,57
22.6,11.2,0.0,984.0,16,54
26.0,9.9,0.0,981.2,13,37
31.9,12.2,0.0,976.6,15,39
36.9,18.8,0.0,974.8,11,37
37.1,16.5,0.0,975.3,9,39
32.8,15.3,0.0,978.0,9,39
20.5,10.1,0.0,985.9,11,49
23.0,7.8,0.0,986.4,10,26
24.7,8.9,0.0,986.5,11,32
25.3,9.2,0.0,985.8,6,40
26.9,8.9,0.0,985.0,7,23
28.4,12.0,0.0,983.7,10,24
