TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
41.5,27.9,0.0,993.8,10,25
43.9,29.9,0.0,993.4,9,33
42.0,31.9,0.2,995.8,18,30
42.9,29.6,0.0,996.0,13,29
42.3,31.3,0.0,995.4,12,28
43.2,32.6,0.0,992.6,12,27
43.2,30.0,0.0,993.6,18,53
39.0,27.0,0.3,997.3,31,57
36.2,23.5,0.0,999.4,18,31
35.3,22.3,1.0,1000.6,12,57
35.5,23.0,0.0,1000.3,16,32
35.9,23.0,0.0,999.8,10,21
35.7,24.6,0.0,998.3,8,26
36.6,24.9,0.0,996.2,10,25
37.2,25.7,0.0,994.5,10,31
38.8,26.7,0.0,994.8,14,29
40.0,25.4,0.0,995.5,12,29
41.4,29.0,0.0,995.1,11,25
42.2,28.6,0.0,994.0,10,27
43.7,30.6,0.0,992.3,10,25
43.9,29.4,0.0,992.6,12,32
42.7,28.4,0.0,992.2,15,55
39.1,26.1,0.0,991.6,21,58
36.7,25.1,0.0,992.6,18,45
35.2,24.4,0.0,991.3,21,53
35.2,27.1,0.0,990.0,26,46
37.9,26.0,0.0,987.2,23,62
36.8,27.7,0.0,985.5,28,59
40.3,29.7,0.0,984.9,18,45
41.9,25.1,0.3,990.2,15,49
35.1,22.5,0.0,994.1,23,44
34.8,21.0,0.0,992.5,18,34
34.5,19.2,0.0,991.2,10,33
35.8,21.0,0.0,989.6,9,27
38.7,27.0,0.0,987.1,8,28
35.1,19.2,0.0,992.7,19,44
30.0,16.5,0.0,996.4,18,37
30.8,19.0,0.0,997.7,16,42
33.0,19.5,0.0,998.3,14,37
34.7,21.0,0.0,997.9,13,38
32.4,17.7,0.0,1000.2,15,40
31.6,17.9,0.0,1000.4,14,40
34.3,21.2,0.0,1000.6,10,32
37.0,22.4,0.0,999.5,8,26
39.4,25.0,0.0,997.2,9,23
40.6,26.6,0.0,996.0,11,28
41.5,27.7,0.0,996.4,12,40
41.5,27.9,0.0,996.8,12,38
41.5,28.3,0.0,997.3,13,34
42.0,29.8,0.0,996.4,14,28
41.9,28.0,0.0,996.5,13,42
34.3,23.9,1.6,996.9,30,66
24.0,19.0,7.9,1000.1,66,95
30.1,21.9,0.0,999.5,44,85
33.8,24.4,0.0,997.5,37,84
33.2,24.8,1.4,996.0,48,86
36.5,27.4,1.4,994.0,39,72
37.3,25.6,6.1,993.7,34,93
33.4,25.6,0.8,993.4,49,84
35.9,25.2,1.0,991.9,35,84
30.0,19.3,19.1,992.5,64,90
22.3,20.0,31.4,993.0,83,96
23.8,20.3,9.9,996.4,74,94
25.5,21.0,6.9,999.8,69,82
26.4,18.3,0.0,1001.3,60,78
26.9,16.1,0.0,1001.6,47,82
27.1,17.3,0.0,998.7,42,79
29.6,16.7,0.0,998.5,33,70
30.2,16.7,0.0,1000.2,21,62
32.5,17.8,0.0,1000.2,16,61
33.7,20.5,0.0,999.7,14,43
34.3,23.6,0.0,998.8,15,51
35.9,23.6,0.0,996.9,21,59
35.9,24.3,0.0,993.6,20,60
37.6,26.1,0.0,991.9,19,65
32.8,22.5,1.5,994.1,37,64
28.7,22.3,7.3,996.6,53,86
31.1,22.7,0.0,995.6,43,79
31.0,24.8,0.0,993.5,43,67
33.0,24.5,0.0,991.3,35,59
35.0,20.7,0.0,993.5,20,61
31.1,17.1,0.0,998.3,30,52
27.5,15.7,0.0,1002.1,24,62
28.4,16.2,0.0,1003.0,23,48
29.6,17.1,0.0,1003.1,19,50
31.4,18.3,0.0,1003.1,16,43
33.1,20.7,0.0,1002.8,26,39
34.4,22.4,0.0,1001.9,26,51
34.9,21.4,0.0,1001.0,20,49
35.3,23.1,0.0,1000.7,19,46
36.6,22.9,0.0,1001.7,17,42
36.7,23.2,0.0,1001.8,14,32
37.8,24.6,0.0,1001.9,12,33
38.7,23.5,0.0,1001.7,14,40
38.5,23.5,0.0,1001.4,15,34
37.5,22.2,0.0,1001.1,14,33
37.1,23.5,0.0,1002.9,13,49
33.5,20.2,0.0,1004.0,21,43
32.2,18.5,0.0,1005.0,20,42
28.6,16.5,0.0,1008.8,17,46
25.9,14.3,0.0,1010.9,19,37
24.1,13.6,0.0,1010.0,14,38
27.9,19.4,0.0,1007.9,16,41
27.6,19.1,0.0,1008.1,31,71
30.7,19.3,0.0,1005.8,25,54
32.2,19.7,0.0,1005.2,20,40
31.9,20.3,0.0,1004.1,19,47
31.5,19.2,0.0,1002.0,22,41
31.3,17.4,0.0,1000.8,17,37
31.5,17.8,0.0,1000.7,16,33
31.8,18.1,0.0,999.7,15,36
34.6,20.8,0.0,997.5,13,52
25.6,18.6,0.8,1001.4,39,87
22.9,17.3,0.0,1004.0,60,79
22.9,10.7,0.0,1007.6,36,70
22.1,10.8,0.0,1008.5,24,67
22.5,11.0,0.0,1007.4,30,60
23.2,11.4,0.0,1006.3,25,61
23.8,12.1,0.0,1006.2,24,57
26.1,14.4,0.0,1004.6,25,65
27.9,14.6,0.0,1002.7,28,67
30.0,17.6,0.0,1004.7,24,49
29.3,15.9,0.0,1006.6,22,61
25.4,11.1,0.0,1007.4,30,44
22.6,10.1,0.0,1007.1,20,44
23.3,10.4,0.0,1005.4,16,53
25.5,10.6,0.0,1003.4,17,48
27.5,11.4,0.0,1001.6,12,39
28.9,12.7,0.0,1002.2,10,40
30.8,15.0,0.0,1003.7,13,45
30.7,16.6,0.0,1004.3,20,56
30.2,16.9,0.0,1004.7,20,46
29.8,14.9,0.0,1006.1,18,52
24.9,11.1,0.0,1009.7,22,50
21.1,9.4,0.0,1011.2,20,66
20.9,8.1,0.0,1009.4,25,62
21.5,7.0,0.0,1006.9,21,52
23.4,9.3,0.0,1006.6,16,41
25.4,12.0,0.0,1007.6,15,33
25.8,12.5,0.0,1008.6,13,39
24.2,11.3,0.0,1007.4,17,44
24.0,11.4,0.0,1008.2,19,48
25.3,14.4,0.0,1007.3,23,44
25.9,11.3,0.0,1006.0,25,54
18.1,8.1,0.0,1011.1,27,50
18.0,7.1,0.0,1011.5,27,83
19.9,9.4,0.0,1009.8,34,72
20.7,11.3,0.0,1010.3,37,70
20.0,8.7,0.0,1011.6,32,66
19.9,11.1,0.0,1011.3,31,61
21.9,14.2,0.0,1007.8,38,75
20.6,13.3,1.8,1005.3,65,99
20.0,12.2,0.5,1004.1,56,96
17.2,10.7,1.2,1004.1,72,95
18.4,7.5,0.0,1004.8,49,87
16.9,7.9,0.0,1005.4,36,77
17.8,8.9,0.0,1005.9,44,91
17.8,7.6,0.0,1007.4,41,89
18.0,8.2,0.0,1009.2,42,79
18.3,5.4,0.0,1010.1,27,77
17.0,4.4,0.0,1009.5,28,81
16.6,6.3,0.0,1007.9,28,76
19.3,8.3,0.0,1005.2,31,78
22.0,10.4,0.0,1004.1,24,53
24.1,13.4,0.0,1001.1,18,35
26.4,11.1,0.0,1000.0,17,57
27.9,13.3,0.0,1001.1,20,51
23.0,8.5,0.0,1009.4,20,68
20.6,7.8,0.0,1013.1,29,86
20.3,6.4,0.0,1012.3,27,84
20.1,5.1,0.0,1009.0,28,82
21.8,8.2,0.0,1004.4,23,54
25.5,9.9,0.0,1003.1,12,63
16.0,4.4,0.0,1011.3,27,77
15.4,5.0,0.0,1015.6,26,73
15.9,4.9,0.0,1016.3,26,70
16.7,5.8,0.0,1013.8,24,75
17.8,6.4,0.0,1010.8,29,74
19.2,5.6,0.0,1007.3,33,80
20.7,6.9,0.0,1003.3,32,79
21.6,6.3,0.0,1003.7,21,80
19.4,5.7,0.0,1008.3,31,78
16.7,4.7,0.0,1012.7,31,88
16.1,3.5,0.0,1012.3,25,80
15.6,4.1,0.0,1012.7,32,77
17.6,5.4,0.0,1014.2,27,77
16.7,4.0,0.0,1014.0,26,65
17.0,4.0,0.0,1010.0,24,64
20.9,9.3,0.0,1005.2,28,70
24.6,10.6,0.0,1001.4,39,88
25.1,10.4,0.0,1001.0,33,86
24.5,13.0,0.0,1002.0,19,94
28.8,17.6,0.2,997.9,26,82
26.0,13.3,2.2,1000.5,16,70
17.0,9.1,2.3,1004.4,51,86
18.5,5.2,0.0,1009.5,33,81
17.0,4.6,0.0,1012.9,31,80
18.4,4.1,0.0,1009.3,27,84
19.6,4.0,0.0,1007.8,23,80
19.1,6.5,0.0,1009.8,21,75
17.8,4.9,0.0,1012.4,27,76
17.0,5.3,0.0,1014.1,28,69
17.9,6.6,0.0,1012.9,29,82
19.8,6.4,0.0,1009.7,28,77
21.0,7.1,0.0,1007.0,28,70
23.6,7.8,0.0,1004.5,24,65
25.3,7.6,0.0,1005.9,20,55
17.6,7.2,0.0,1008.2,26,74
16.7,4.8,0.0,1011.8,31,87
18.1,6.6,0.0,1012.7,28,71
18.6,7.4,0.0,1012.7,27,70
17.7,4.5,0.0,1012.8,31,75
17.5,3.3,0.0,1011.6,26,70
18.8,3.1,0.0,1009.1,20,62
22.2,4.6,0.0,1006.2,12,41
24.2,8.3,0.0,1006.3,10,28
25.6,11.0,0.0,1005.9,10,34
27.4,10.5,0.0,1007.5,10,53
21.9,6.0,0.0,1010.5,18,58
23.4,7.9,0.0,1008.4,15,47
27.5,10.6,0.0,1006.5,12,60
23.4,8.5,0.0,1011.6,25,50
19.2,6.2,0.0,1014.9,20,66
19.0,6.0,0.0,1013.6,25,72
18.9,5.1,0.0,1011.0,27,72
22.4,7.8,0.0,1008.5,19,46
