TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
14.8,3.1,0.0,959.0,41,85
13.5,7.0,0.0,961.5,54,91
13.8,5.0,0.0,963.7,51,95
15.3,5.7,0.0,960.7,41,88
15.3,4.3,0.0,957.4,36,81
14.0,3.9,0.0,957.6,33,90
16.4,2.0,0.0,955.9,25,73
15.0,4.5,0.0,957.2,27,69
13.9,2.4,0.0,961.2,37,87
14.5,4.9,0.0,958.4,27,65
13.3,2.9,0.0,958.2,41,77
12.0,1.2,0.0,960.5,35,83
11.9,1.8,0.0,961.1,43,81
13.3,2.9,0.0,963.6,38,93
13.7,0.7,0.0,960.0,32,86
13.3,1.2,0.0,957.9,30,87
13.9,1.4,0.0,960.0,37,96
14.0,5.1,0.0,961.6,43,96
11.7,4.5,0.2,963.0,46,94
11.3,3.5,0.0,964.7,43,90
11.6,1.1,0.0,963.3,46,92
11.5,1.3,2.6,958.3,44,90
12.5,5.1,0.0,963.0,53,90
14.9,2.4,1.1,961.2,38,90
21.0,9.0,1.2,955.1,24,69
16.6,5.3,0.0,956.8,36,76
14.4,6.0,1.3,959.0,34,80
12.3,5.3,0.6,961.1,50,91
13.3,3.3,0.3,958.7,44,91
12.8,5.7,8.5,952.9,56,84
14.9,6.0,0.0,950.3,43,87
11.6,4.9,7.0,955.0,59,85
11.3,4.7,0.0,964.9,58,86
13.7,4.7,0.0,965.2,55,85
14.8,6.7,0.0,962.9,45,74
15.3,6.9,0.0,961.0,38,67
16.7,8.5,0.0,955.5,34,58
18.2,6.3,0.0,954.3,36,68
12.4,2.6,0.0,959.6,18,57
13.5,-0.4,0.0,959.0,25,64
13.6,2.5,0.0,961.9,43,78
14.9,3.4,0.0,963.4,40,84
18.7,6.9,0.0,959.4,27,79
23.5,6.5,0.0,958.0,17,54
22.3,7.9,0.0,958.1,17,57
22.3,9.6,0.0,955.5,20,90
14.5,6.1,0.0,954.0,38,92
14.9,4.1,1.8,951.2,26,81
11.0,5.0,0.7,957.0,38,79
11.0,4.0,0.0,964.0,45,86
12.9,2.8,0.0,966.6,43,87
15.9,3.7,0.0,963.3,24,76
17.6,6.0,0.0,959.5,22,61
19.7,8.1,0.0,957.5,18,46
19.2,7.5,2.3,953.2,37,84
14.8,5.7,0.9,955.0,45,91
15.8,3.9,0.0,956.1,38,95
18.9,4.0,0.0,953.7,27,88
21.5,6.2,0.0,950.7,22,66
13.9,5.1,1.2,949.9,30,73
10.5,4.7,3.0,950.5,42,80
9.6,3.3,1.3,956.4,39,82
12.0,4.0,0.0,961.5,37,84
15.2,4.8,0.0,960.5,42,93
17.3,3.9,0.0,961.3,26,94
20.0,4.4,0.0,961.4,13,79
20.2,7.9,0.0,962.0,28,86
20.6,9.2,0.0,961.8,30,91
21.6,6.4,0.0,962.5,22,86
24.2,10.0,0.0,959.7,17,66
26.8,13.0,0.0,953.8,15,46
24.7,13.3,0.0,953.0,15,35
23.1,9.9,0.0,956.0,21,72
18.2,7.3,0.0,959.4,19,94
14.9,6.1,0.0,961.2,41,81
15.2,7.4,0.0,961.3,38,80
12.7,4.1,0.0,966.7,29,76
16.6,1.4,0.0,967.5,14,76
18.4,6.2,0.0,964.3,9,31
20.0,7.4,0.0,962.8,9,48
21.5,4.6,0.0,961.8,11,83
21.6,5.5,0.0,960.9,13,83
21.5,5.8,0.0,960.3,15,68
25.4,8.1,0.0,958.8,12,75
23.9,8.8,0.0,957.5,26,88
20.3,8.2,0.0,957.5,24,96
19.0,7.3,0.0,956.5,27,95
19.5,7.5,0.0,957.9,23,94
19.5,4.5,0.2,958.0,16,96
19.5,4.8,0.0,958.4,19,93
20.8,5.9,0.0,957.5,15,75
27.0,12.3,0.0,953.3,17,43
23.7,11.3,0.0,956.3,29,77
23.2,7.9,0.0,960.7,24,90
27.4,9.6,0.0,960.0,17,88
31.0,14.7,0.0,957.5,10,65
29.7,12.9,0.0,956.1,14,70
31.6,16.7,0.0,953.1,10,39
31.0,14.2,0.0,950.9,11,51
30.7,15.1,0.0,951.0,11,60
26.0,12.1,0.1,953.0,12,78
22.3,10.6,0.0,954.7,21,93
21.1,8.6,0.0,956.0,25,91
23.9,7.9,0.0,956.4,22,86
27.6,15.2,0.0,954.5,14,47
32.4,15.6,0.0,952.5,11,81
24.2,11.9,0.0,957.1,24,88
27.1,9.9,0.0,955.6,12,75
36.5,13.1,0.0,953.1,4,68
22.3,9.1,0.0,957.2,25,78
24.1,8.3,0.0,958.0,15,81
24.8,11.8,0.0,958.7,19,61
28.3,10.7,0.0,957.9,11,54
26.6,11.3,0.0,956.4,16,76
26.6,10.8,0.0,957.0,18,89
28.8,12.2,0.0,957.9,19,84
28.1,11.0,0.0,958.4,19,81
29.5,11.8,0.0,956.7,14,62
30.8,12.4,0.0,955.9,11,46
29.1,12.6,0.0,954.7,22,54
29.4,12.8,0.0,952.9,8,41
30.6,17.0,0.0,949.2,19,80
28.6,14.2,0.0,951.8,21,93
29.5,14.7,0.0,952.9,17,82
32.3,15.4,0.0,954.3,13,61
30.9,14.9,0.0,955.8,11,42
31.3,18.9,0.0,955.6,14,42
29.1,14.8,0.0,955.6,13,54
29.4,12.9,0.0,954.1,18,58
31.8,15.1,0.0,954.1,17,78
29.1,15.3,0.0,957.1,23,88
29.6,13.5,0.0,958.2,16,63
30.5,15.2,0.0,955.0,14,51
27.7,16.5,0.0,954.1,25,66
27.5,14.7,0.5,955.8,27,69
29.4,14.5,0.0,957.7,17,74
31.3,14.8,0.0,956.9,13,63
32.2,18.1,0.0,953.4,14,50
31.5,17.5,0.0,954.1,22,74
28.0,15.1,0.0,956.9,29,76
26.4,13.6,0.0,958.7,18,91
27.7,12.0,0.0,958.4,21,89
32.0,13.4,0.0,958.1,14,67
31.8,18.1,0.0,958.0,21,57
30.6,14.3,0.0,958.5,14,80
33.9,16.7,0.0,957.5,12,54
33.4,18.1,0.0,958.3,15,49
31.2,17.6,0.0,958.7,15,49
35.7,19.8,0.0,954.6,13,37
34.0,19.1,0.0,955.5,19,81
29.8,17.4,0.0,959.8,22,86
31.5,15.8,0.0,959.5,18,60
34.5,19.4,0.0,958.8,14,55
33.8,17.4,0.0,960.1,15,59
36.2,17.1,0.0,958.1,7,58
32.7,18.2,0.0,956.4,24,81
30.9,15.6,0.0,956.1,20,88
31.3,14.1,0.0,955.2,21,91
33.7,16.4,0.0,953.5,14,57
33.1,17.1,0.0,953.7,15,61
34.8,16.0,0.0,954.1,13,69
36.2,17.9,0.0,953.6,12,77
34.2,18.1,0.0,953.9,19,75
33.4,16.4,0.0,953.5,12,76
35.4,15.6,0.0,952.0,10,67
36.3,18.2,0.0,951.7,20,74
35.4,18.7,0.0,951.8,25,75
39.2,19.6,0.0,951.6,13,64
39.6,21.8,0.0,952.4,11,47
37.7,21.8,0.0,952.2,19,63
35.1,20.6,0.0,951.2,20,70
33.3,18.3,0.0,949.8,24,90
35.0,18.6,0.0,949.6,13,85
35.3,18.9,0.0,952.8,14,75
36.0,19.3,0.0,955.8,14,81
35.1,21.1,0.0,954.0,19,58
32.9,16.9,0.0,953.4,17,71
34.6,19.5,0.0,954.7,25,79
33.6,19.2,0.0,953.2,27,92
34.0,17.4,0.0,951.6,22,79
34.6,18.7,0.0,951.7,22,85
35.6,19.7,0.0,951.5,21,86
35.2,20.4,0.0,951.9,18,84
34.2,19.2,0.0,951.4,17,82
33.1,19.1,0.0,951.9,22,92
31.9,18.8,0.0,952.4,20,74
32.9,18.5,0.0,952.3,25,92
34.4,18.8,0.0,951.8,20,86
34.1,19.9,0.0,951.0,22,83
33.4,17.4,0.0,949.0,18,71
34.3,19.0,0.0,948.4,21,70
35.8,21.2,0.0,950.0,21,67
35.5,22.3,0.0,952.0,25,69
36.0,20.5,0.0,950.8,22,85
37.7,22.5,0.0,950.7,18,68
37.8,21.5,0.0,951.2,17,75
37.6,22.1,0.0,951.2,12,39
37.3,20.9,0.0,950.7,15,52
38.0,20.6,0.0,950.0,16,49
41.4,22.3,0.0,949.7,13,68
38.5,22.9,0.0,951.6,27,89
36.6,22.5,0.0,953.2,24,83
34.3,21.7,0.0,952.1,24,87
34.8,19.6,0.0,950.9,19,86
36.7,21.2,0.0,952.1,20,72
36.8,21.6,0.0,953.4,19,82
37.6,20.8,0.0,952.2,19,88
37.9,21.8,0.0,951.6,27,82
37.1,23.2,0.0,951.0,22,87
35.7,20.5,0.0,949.7,21,79
33.9,19.9,0.0,949.3,28,82
34.7,19.1,0.0,949.2,21,83
36.9,21.0,0.0,949.8,15,74
38.4,25.9,0.0,951.1,13,51
36.8,22.7,0.0,954.0,22,84
34.4,21.2,0.0,954.8,28,81
32.8,20.0,0.0,954.1,28,92
32.9,19.3,0.0,952.7,29,93
34.2,18.3,0.0,951.0,29,85
36.2,20.5,0.0,949.8,17,62
37.3,22.0,0.0,951.6,15,43
36.6,23.3,0.0,953.0,16,40
36.3,21.3,0.0,952.1,13,51
35.0,20.0,0.0,952.2,18,59
35.3,20.7,0.0,953.4,16,71
35.8,19.8,0.0,953.9,16,85
36.0,23.1,0.0,953.8,14,66
33.8,20.1,0.0,953.3,23,92
33.6,18.7,0.0,952.3,23,92
34.7,19.1,0.0,952.0,23,72
35.9,19.7,0.0,952.4,21,64
35.9,21.2,0.0,953.5,17,62
35.0,20.5,0.0,953.2,17,65
34.6,19.6,0.0,953.8,23,86
33.8,21.0,0.0,955.1,28,90
33.7,18.3,0.0,953.7,21,91
35.0,19.2,0.0,953.1,22,93
35.4,20.0,0.0,953.0,19,87
35.2,19.6,0.0,952.6,20,70
33.3,18.7,0.0,951.9,14,73
32.3,16.3,0.0,950.9,15,71
32.6,18.5,0.0,951.8,27,76
32.8,19.4,0.0,953.7,22,85
32.8,17.6,0.0,954.6,26,92
33.3,18.1,0.0,954.6,25,72
33.0,16.8,0.0,955.1,19,82
32.9,19.4,0.0,953.4,28,95
35.4,20.2,0.0,952.8,23,93
36.0,22.2,0.0,954.1,21,91
35.9,21.1,0.0,954.7,19,88
34.7,20.2,0.0,954.0,21,91
32.8,19.2,0.0,952.4,26,90
31.3,18.6,0.0,952.5,27,88
31.5,18.5,0.0,953.9,30,93
32.2,18.1,0.0,954.9,25,85
31.9,17.8,0.0,955.1,23,92
31.2,17.7,0.0,955.7,28,86
30.9,18.0,0.0,956.7,35,92
33.3,17.0,0.0,953.7,21,93
33.9,18.6,0.0,953.6,27,93
34.1,19.7,0.0,955.4,17,67
33.8,18.2,0.0,955.5,17,70
33.3,18.3,0.0,955.4,21,74
31.6,18.8,0.0,956.3,29,89
31.0,17.1,0.0,956.9,32,94
30.2,17.4,0.0,957.3,33,92
30.2,16.5,0.0,957.6,30,95
31.2,15.8,0.0,955.9,25,94
31.1,16.0,0.0,955.3,31,93
31.1,16.2,0.0,956.6,30,96
34.2,17.5,0.0,956.9,24,91
34.5,18.9,0.0,957.3,28,96
34.6,20.7,0.2,957.9,27,93
35.3,20.3,0.0,958.8,24,87
32.9,22.4,0.1,959.4,31,72
32.3,21.4,0.0,959.4,39,93
30.2,18.0,0.0,959.6,39,87
29.1,15.6,0.0,957.6,34,95
29.1,16.2,0.0,957.3,25,96
28.0,15.8,0.0,957.6,34,86
27.6,14.8,0.0,957.4,31,91
26.9,14.9,0.0,957.4,36,95
27.5,16.0,0.0,956.3,32,92
28.4,17.5,0.0,954.8,30,73
30.2,15.3,0.0,955.4,22,80
28.9,16.2,0.0,958.6,34,94
30.3,17.1,0.0,958.3,32,93
29.8,17.0,0.4,958.3,34,98
32.0,17.6,0.0,959.2,30,87
33.4,18.1,0.0,959.8,26,91
33.3,20.5,0.0,958.7,19,78
32.4,18.9,0.0,956.7,17,82
30.5,16.4,0.0,955.8,21,86
30.0,16.1,0.0,955.1,28,90
28.4,16.8,0.3,955.4,25,91
26.0,16.9,2.1,956.6,41,93
26.2,14.3,0.0,957.5,36,98
25.7,15.6,0.0,955.5,34,87
25.6,12.7,0.0,955.2,29,91
25.5,12.8,0.0,955.7,29,81
24.9,13.0,0.0,957.6,34,87
26.1,15.0,0.0,959.1,29,81
27.8,17.2,0.0,957.1,23,56
29.1,16.7,0.0,956.0,22,97
28.9,14.5,0.0,956.8,32,93
29.8,16.0,0.0,957.4,29,93
29.8,17.6,0.0,956.8,29,88
29.1,18.3,1.7,957.6,31,93
28.1,19.0,0.0,958.6,28,73
25.4,18.5,1.1,958.2,36,79
27.9,16.9,0.8,958.4,33,85
27.0,14.2,0.0,959.2,31,92
26.4,16.1,0.0,956.4,36,93
23.3,13.8,0.6,954.7,48,92
21.3,10.7,0.0,957.2,28,90
21.1,11.7,0.0,958.3,30,79
19.0,11.4,0.7,958.5,49,87
19.8,11.4,0.0,958.8,44,93
20.7,10.8,0.0,959.7,47,91
21.5,12.1,0.0,959.9,36,85
22.8,13.5,0.0,958.1,27,57
25.1,15.0,0.0,955.6,28,58
24.0,11.9,0.6,955.9,27,83
21.6,9.4,0.0,958.6,43,95
21.6,12.1,0.0,959.1,40,88
21.3,13.1,0.0,957.4,43,75
22.2,12.1,0.0,954.9,33,96
19.4,12.4,0.0,956.7,49,99
18.9,11.6,0.0,958.3,48,95
18.5,9.2,0.1,957.8,52,98
18.9,8.7,0.0,959.5,47,99
19.4,10.8,0.0,960.1,36,93
20.3,11.2,0.0,960.6,33,78
20.6,12.4,0.0,959.9,30,60
22.3,14.1,0.0,960.7,30,53
22.3,14.9,0.0,961.1,31,57
22.8,13.4,0.0,960.8,30,69
22.3,14.7,0.0,957.8,26,65
20.8,12.9,0.2,952.9,41,76
17.2,11.7,0.0,954.6,49,81
18.6,9.4,0.0,957.5,35,83
20.2,7.3,0.0,957.5,35,82
17.9,6.9,0.0,959.4,42,86
18.6,9.0,0.0,957.0,39,86
18.6,6.9,0.0,954.4,34,86
16.2,7.3,0.0,959.3,39,78
17.0,6.5,0.0,959.7,32,93
14.6,5.5,0.0,960.7,54,95
16.5,5.8,0.0,962.5,46,92
15.9,7.7,0.0,961.6,41,88
15.3,4.9,0.0,961.7,42,94
15.8,4.6,0.0,960.1,38,88
17.7,4.6,0.0,957.7,33,87
19.7,6.2,0.0,956.0,27,67
15.9,9.1,0.0,952.4,36,68
14.9,8.4,0.0,955.5,37,67
15.5,5.7,0.0,959.1,37,84
17.2,8.7,0.0,958.1,29,56
17.4,4.4,0.0,956.4,27,73
15.5,5.1,0.7,961.0,48,96
16.6,10.0,0.0,965.1,51,97
16.6,7.5,0.0,963.6,51,99
17.4,7.2,0.0,960.1,42,96
15.6,5.1,0.0,958.2,52,98
16.6,6.1,0.0,960.3,46,93
17.3,7.5,0.0,959.9,38,83
17.0,4.8,0.0,959.8,40,98
16.3,6.4,0.0,963.8,43,96
16.9,7.8,0.0,964.8,38,89
16.6,7.1,0.0,959.3,34,95
15.1,6.9,0.0,955.5,42,95
15.0,7.4,0.0,952.4,36,74
12.3,8.8,1.4,952.9,49,71
14.0,7.6,9.6,953.7,40,83
8.4,3.5,7.2,955.9,56,84
8.5,1.3,0.7,962.1,48,90
10.0,-0.3,0.0,966.0,50,90
10.4,4.6,0.0,963.9,54,78
12.7,2.1,0.0,962.8,47,79
13.6,5.9,0.0,964.9,52,80
13.9,6.3,0.0,964.1,44,75
15.7,6.9,0.0,961.0,39,56
19.3,8.9,0.0,959.2,32,71
19.4,7.9,0.0,956.6,42,79
18.2,4.8,0.0,958.7,27,74
17.7,3.2,0.0,961.7,22,59
20.7,9.9,0.0,960.1,19,48
27.6,9.0,0.0,958.1,15,89
18.3,7.9,0.0,961.4,38,96
19.6,7.5,0.0,957.7,33,96
22.2,11.3,0.0,955.4,26,63
25.4,8.7,2.4,955.0,29,76
18.2,9.5,0.0,956.1,29,88
16.6,8.2,0.1,953.8,35,89
13.8,5.4,0.0,957.6,50,90
15.3,3.2,0.8,953.5,38,93
11.6,6.7,1.8,951.5,51,79
13.7,6.2,6.7,954.5,50,85
14.3,8.4,0.7,963.1,52,88
16.8,6.9,0.0,965.9,45,77
19.0,10.5,0.0,962.1,40,73
21.5,9.2,0.0,955.7,35,76
14.9,7.4,7.5,954.4,54,87
15.4,6.9,0.0,959.7,58,84
18.1,7.5,0.0,956.3,51,79
18.0,5.3,0.0,958.8,40,96
17.4,7.0,0.0,957.6,55,100
15.1,5.1,0.0,958.3,41,93
15.0,3.4,0.0,960.2,51,95
17.0,5.7,0.0,958.8,48,89
19.9,10.6,0.0,955.1,41,70
16.4,4.9,0.0,958.4,23,58
15.5,2.0,0.0,960.5,34,86
15.7,2.9,0.0,958.3,38,95
16.1,3.5,0.0,957.3,31,93
15.8,5.1,0.0,959.6,40,99
18.2,4.2,0.0,961.0,20,92
19.4,8.3,0.0,959.5,21,53
25.1,11.0,0.0,953.2,12,43
19.9,7.2,0.0,958.9,31,89
18.3,6.2,0.0,964.4,38,99
23.5,10.2,0.0,962.7,25,81
26.4,15.1,0.0,959.6,13,33
24.4,9.6,0.0,957.7,19,86
20.1,8.2,0.0,959.2,26,87
18.9,6.1,0.0,958.4,25,93
22.7,7.0,0.0,957.3,23,84
30.4,11.5,0.0,953.8,7,71
20.5,10.3,0.0,957.4,24,90
17.6,8.8,0.0,959.8,35,91
17.2,6.0,0.0,962.8,23,95
19.3,5.9,0.0,960.1,14,60
27.2,12.0,0.0,953.1,8,32
20.8,9.2,0.0,955.6,28,76
21.4,6.0,0.0,957.8,22,75
26.0,8.8,0.0,958.7,23,71
30.3,12.6,0.0,956.6,10,51
31.6,15.5,0.0,955.6,9,57
31.8,14.8,0.0,954.9,10,49
33.4,15.4,0.0,952.5,17,60
20.8,10.9,0.0,955.8,35,82
17.6,8.5,0.0,958.7,30,89
17.5,7.0,0.0,959.2,30,80
22.2,7.5,0.0,955.5,23,80
23.1,7.7,0.0,957.3,25,93
25.3,10.0,0.0,955.9,19,82
30.3,12.0,0.0,951.4,10,88
19.5,9.0,0.0,955.8,32,92
19.4,7.4,0.0,959.1,23,89
25.3,7.5,0.0,957.9,17,81
31.8,12.9,0.0,953.2,6,72
22.6,9.3,0.0,957.3,17,94
24.5,7.8,0.0,958.9,21,82
26.0,12.0,0.0,958.5,15,66
28.0,11.9,0.0,955.6,17,49
32.2,19.0,0.0,954.1,9,38
31.6,14.9,0.0,956.3,10,74
25.7,10.8,0.0,957.6,13,90
26.4,10.0,0.0,953.5,9,46
20.8,12.0,0.0,954.5,17,83
19.7,10.1,0.1,957.7,35,93
24.5,8.1,0.0,958.4,26,96
32.9,15.2,0.0,954.0,6,51
26.1,12.6,0.0,955.1,15,71
21.9,8.5,0.0,958.3,23,89
21.4,8.8,0.0,958.4,29,96
22.5,7.9,0.0,956.7,22,92
23.9,8.3,0.0,957.1,25,94
24.8,10.8,0.0,960.4,29,91
27.0,12.1,0.0,960.4,21,93
27.3,10.7,0.0,954.6,11,90
22.7,11.1,0.0,953.4,20,93
20.7,8.9,0.0,954.8,27,92
22.1,9.5,0.0,954.4,24,93
22.6,9.4,0.0,954.9,21,78
19.1,7.7,3.7,955.5,24,86
19.5,7.4,0.0,955.6,28,92
20.2,7.9,0.0,955.9,29,93
22.3,7.1,0.0,959.9,25,90
27.4,10.8,0.0,960.8,15,81
29.2,13.6,0.0,958.5,11,59
30.0,14.2,0.0,954.6,9,42
31.1,15.9,0.0,953.5,14,28
32.0,20.3,0.0,955.4,10,24
31.2,19.1,0.0,956.5,6,17
32.7,19.0,0.0,955.6,8,18
33.4,18.5,0.0,954.4,9,43
32.1,17.1,1.2,952.9,12,56
32.7,16.7,0.0,952.9,11,63
32.4,20.6,0.0,954.9,10,33
32.0,18.6,0.0,956.0,8,33
30.7,15.1,0.0,955.0,14,55
30.7,14.9,0.0,954.7,24,66
32.6,15.7,0.0,954.1,15,66
30.5,17.7,0.4,954.4,22,71
31.9,16.0,0.0,954.4,19,84
29.7,16.0,0.3,954.2,20,93
26.1,15.3,0.7,954.7,30,77
30.8,13.5,2.5,953.8,19,82
26.9,13.1,0.0,953.2,16,93
24.0,11.5,0.0,954.1,26,88
26.4,11.4,0.0,958.0,29,92
29.1,14.4,0.0,959.9,18,79
32.9,17.1,0.0,959.0,17,69
34.1,18.8,0.0,955.7,14,55
30.2,18.1,0.0,953.7,22,79
30.8,15.8,0.0,955.0,22,92
33.4,18.0,0.0,956.1,15,50
36.1,18.0,0.0,956.0,13,51
38.7,19.6,0.0,956.1,11,52
32.5,18.0,0.0,957.3,24,81
29.2,14.6,0.0,957.3,17,89
29.1,12.0,0.0,958.4,20,89
31.6,13.9,0.0,959.3,10,92
33.4,17.6,0.0,956.6,8,38
38.7,20.2,0.0,953.6,6,48
35.9,16.6,0.0,954.0,8,48
35.2,20.5,0.0,955.6,13,44
37.6,18.7,0.0,955.2,9,45
34.4,18.8,0.0,954.9,14,77
31.7,15.3,0.0,957.6,16,94
31.7,15.0,0.0,960.2,15,78
32.1,15.2,0.0,960.5,12,61
31.8,17.7,0.0,958.7,15,58
36.0,16.7,0.0,954.3,9,57
32.3,18.7,0.0,953.7,20,85
30.3,16.5,0.0,955.3,22,95
32.2,14.2,0.0,954.7,19,89
36.2,19.8,0.0,952.5,10,77
30.2,18.1,0.0,953.7,20,85
29.7,15.7,0.0,954.7,27,88
28.8,15.0,0.0,955.0,25,91
29.0,15.1,0.0,954.4,28,88
30.8,15.2,0.0,952.5,25,90
32.5,16.2,0.0,950.6,25,87
32.9,17.0,0.0,950.6,24,77
34.1,18.0,0.0,952.4,17,61
34.6,18.3,0.0,952.9,13,50
35.0,18.9,0.0,952.5,14,40
34.3,19.9,0.0,952.7,14,50
33.4,17.5,0.0,953.2,15,65
34.0,17.0,0.0,953.6,15,79
34.9,17.5,0.0,954.0,15,66
34.5,18.4,0.0,953.8,18,85
34.3,16.5,0.0,952.8,18,80
34.0,19.2,0.0,952.9,26,89
32.6,18.5,0.0,953.8,23,91
31.2,16.2,0.0,954.2,30,92
30.9,16.9,0.0,952.9,27,92
33.3,14.8,0.0,951.6,22,87
34.0,17.9,0.0,952.1,19,86
34.2,18.3,0.0,952.4,19,88
33.4,18.8,0.0,952.8,24,89
34.4,17.7,0.0,954.7,25,89
35.1,19.2,0.0,955.8,24,90
33.7,19.1,0.0,953.6,25,91
31.7,18.1,0.0,950.3,29,87
31.8,19.9,0.0,950.7,32,89
32.8,19.3,0.0,952.4,26,90
34.3,18.5,0.0,951.6,24,95
33.9,19.0,0.0,951.4,25,91
34.9,19.2,0.0,951.4,25,86
34.5,19.2,0.0,952.5,21,67
33.0,20.2,0.0,953.8,24,88
31.6,18.1,0.0,953.7,24,93
31.3,18.1,0.0,952.7,29,93
32.3,18.2,0.0,951.6,31,95
31.5,19.4,0.0,951.5,27,92
32.0,17.9,0.0,949.6,27,93
34.0,16.8,0.0,950.0,20,74
34.1,19.0,0.0,952.5,20,79
33.5,19.6,0.0,952.3,24,89
33.9,17.3,0.0,950.0,21,83
33.7,17.2,0.0,949.2,14,81
34.6,16.9,0.0,952.0,14,63
34.6,18.0,0.0,953.6,15,62
33.5,18.8,0.0,951.9,16,73
33.2,17.5,0.0,950.4,16,71
34.1,17.9,0.0,951.5,13,53
35.3,18.3,0.0,953.4,14,51
34.6,19.3,0.0,954.1,22,70
33.1,17.9,0.0,952.9,25,90
34.5,18.8,0.0,951.6,22,90
35.3,18.8,0.0,951.3,15,78
35.6,19.2,0.0,952.4,13,56
34.8,19.5,0.0,953.1,16,63
33.8,18.3,0.0,951.7,22,78
32.8,17.7,0.0,949.7,24,86
33.1,18.1,0.0,951.1,18,88
32.8,18.3,0.0,953.0,21,78
33.7,17.4,0.0,952.1,21,77
36.1,19.5,0.0,950.9,27,83
34.3,21.6,0.0,951.5,33,89
35.1,20.6,0.0,951.6,28,93
35.4,19.4,0.0,951.9,19,76
34.5,20.0,0.0,952.6,20,91
33.8,17.9,0.0,951.7,20,88
34.5,17.2,0.0,952.1,22,72
34.1,19.7,0.0,953.5,20,81
33.7,17.9,0.0,953.7,15,70
33.8,18.7,0.0,954.9,14,79
31.8,17.5,0.0,955.2,27,94
31.9,17.5,0.0,954.4,28,93
33.0,17.8,0.0,953.4,28,94
33.5,19.8,0.0,952.8,28,94
34.8,19.3,0.0,953.2,21,90
35.4,20.6,0.0,953.8,20,83
35.6,19.7,0.0,953.0,14,63
34.3,21.0,0.0,953.2,23,87
33.1,19.7,0.0,953.8,24,93
34.1,19.1,0.0,955.2,28,88
33.0,20.5,0.0,955.8,35,93
31.4,19.6,0.0,954.5,26,91
31.3,20.6,0.0,953.5,32,90
32.6,18.3,0.0,954.5,18,68
31.8,17.2,0.0,956.7,26,79
31.1,15.9,0.0,956.2,23,93
31.2,15.8,0.0,955.8,23,91
31.6,16.5,0.0,956.6,27,82
33.5,18.3,0.0,955.5,22,89
34.5,18.5,0.0,954.8,22,94
36.3,19.0,0.0,956.1,19,94
37.1,20.3,0.0,956.8,13,93
33.6,20.4,0.0,955.9,23,86
30.9,17.6,0.0,954.8,22,94
30.7,14.2,0.0,954.1,22,91
32.5,19.4,0.0,953.5,20,80
36.1,18.0,0.0,953.4,14,87
31.5,20.8,0.0,956.4,28,82
29.2,19.2,0.0,957.9,38,91
30.2,18.4,0.0,956.1,29,96
29.6,18.5,0.0,955.0,36,78
28.5,15.2,0.0,957.0,27,93
27.3,15.0,0.0,960.1,28,93
29.5,14.3,0.0,959.2,23,88
29.8,16.4,0.0,956.1,33,95
27.8,15.3,0.0,956.1,32,91
28.2,13.1,0.0,956.1,22,88
28.8,13.0,0.0,955.2,32,90
29.9,16.5,0.0,953.5,35,98
31.1,15.0,0.0,953.2,13,91
29.4,16.0,0.0,956.7,32,87
26.8,15.7,0.0,958.3,35,90
25.2,12.6,0.0,957.5,31,87
23.5,12.0,0.0,958.6,30,84
22.8,10.9,0.0,961.4,27,78
25.8,10.7,0.0,960.3,17,68
28.2,13.3,0.0,958.9,14,38
30.5,16.8,0.0,959.7,13,63
30.0,13.3,0.0,961.2,16,93
28.0,12.1,0.0,959.1,20,91
27.5,10.8,0.0,955.6,17,91
26.7,14.5,0.0,956.7,32,95
26.3,15.0,0.0,959.0,19,81
27.6,12.3,0.0,957.3,24,92
27.6,13.3,0.0,954.7,30,97
28.5,15.4,0.0,956.2,22,85
24.6,13.4,0.0,961.5,38,96
24.4,11.6,0.0,962.3,26,88
26.9,12.1,0.0,959.3,22,73
28.6,15.6,0.0,957.9,21,64
27.3,11.9,0.0,958.2,28,92
26.5,11.6,0.0,958.1,19,94
25.1,11.4,0.0,957.9,16,88
23.4,10.3,0.0,957.7,24,89
24.3,11.4,0.0,958.2,23,88
24.1,10.0,0.0,957.9,22,76
25.8,13.9,0.0,954.9,20,60
24.3,11.5,0.0,955.0,33,77
23.9,15.5,0.0,956.7,37,68
23.0,11.6,2.0,957.6,41,85
21.2,11.9,0.1,958.3,48,93
22.4,14.2,0.0,959.4,42,79
24.3,14.7,0.0,959.3,40,77
26.1,14.1,0.0,958.6,33,90
