TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
13.3,0.7,0.0,939.3,32,73
15.0,3.4,0.0,939.4,43,90
14.6,3.5,0.0,939.0,42,89
15.0,2.4,0.0,938.0,33,89
12.9,1.8,0.0,937.9,37,72
13.4,-1.2,0.0,934.7,26,81
14.6,1.8,0.0,934.0,27,56
12.1,-0.8,0.0,936.9,28,63
12.4,-0.9,0.0,936.3,30,84
11.4,-2.3,0.0,937.6,27,78
11.3,-0.2,0.0,939.3,34,84
11.7,-0.5,0.0,941.0,31,81
13.2,0.2,0.0,940.9,30,87
12.5,-2.1,0.0,937.7,31,87
15.1,-1.6,0.0,934.4,20,78
15.3,-0.2,0.0,932.5,20,56
18.3,3.2,0.0,930.5,14,50
22.0,2.2,0.0,929.3,8,43
18.4,5.3,0.0,932.1,11,23
18.0,4.4,0.0,935.7,17,42
17.3,4.0,0.0,935.2,25,66
20.5,4.3,0.3,934.7,16,55
25.4,14.6,0.5,933.5,11,49
18.8,10.1,0.0,933.8,28,64
16.2,3.7,0.0,934.2,30,74
16.7,0.9,0.0,933.5,22,80
21.5,3.9,0.0,932.4,18,54
28.3,13.1,0.0,930.3,11,37
19.0,7.2,0.0,929.4,18,38
15.2,4.7,0.0,930.4,29,68
13.1,2.9,0.0,932.9,13,60
13.4,-0.1,0.0,934.6,28,65
16.1,0.6,0.0,932.4,18,72
22.5,6.5,0.0,931.4,8,29
23.8,6.1,0.0,931.3,8,30
29.2,9.0,0.0,928.7,7,23
11.6,2.8,0.0,934.0,15,34
10.3,-1.8,0.0,933.0,23,40
13.7,-2.1,0.0,932.3,19,56
15.7,2.4,0.0,933.1,15,43
17.3,7.9,0.0,932.0,14,27
25.4,10.2,0.0,929.8,19,37
17.7,8.4,0.0,932.0,18,29
21.3,5.9,0.0,930.9,14,41
24.8,9.6,0.0,930.7,11,27
19.9,7.8,0.0,934.3,18,35
19.0,5.3,0.0,933.9,17,27
18.2,7.9,0.0,934.0,9,19
20.1,7.2,0.0,934.2,8,19
21.6,9.9,0.0,933.2,15,28
26.8,10.7,0.0,932.7,13,38
29.1,16.4,0.0,931.3,9,30
21.9,12.1,0.0,931.0,31,72
17.4,6.5,0.0,934.2,23,65
18.0,5.5,0.0,936.3,19,44
20.6,6.1,0.0,934.6,23,71
26.1,8.2,0.0,930.2,12,57
18.5,7.9,0.0,932.8,22,54
20.4,4.3,0.0,932.9,15,60
22.9,4.4,0.0,931.3,13,57
24.0,7.9,0.0,929.8,14,38
19.1,7.4,0.0,936.0,18,42
17.7,5.9,0.0,937.3,17,64
17.4,2.4,0.0,935.6,10,40
19.3,1.9,0.0,935.0,11,51
20.8,7.6,0.0,933.8,11,37
23.7,8.0,0.0,931.9,8,30
27.6,7.1,0.0,927.9,6,28
26.3,11.4,0.0,927.0,9,25
15.7,3.5,0.0,931.3,29,71
16.8,3.7,0.0,932.2,19,60
17.7,5.0,0.0,933.4,27,64
19.2,5.1,0.0,935.5,18,67
19.5,6.1,0.0,937.4,17,53
19.7,6.2,0.0,938.7,19,50
20.0,6.4,0.0,939.5,18,46
19.0,7.0,0.0,939.3,17,50
20.5,6.6,0.0,938.1,15,54
21.2,6.0,0.0,937.3,13,45
23.0,7.1,0.0,936.6,11,39
23.3,9.5,0.0,936.1,11,29
23.8,10.4,0.0,935.3,11,28
24.5,9.3,0.0,934.6,9,32
25.5,9.2,0.0,934.1,12,33
26.2,9.8,0.0,933.9,8,27
27.1,10.9,0.0,933.8,9,22
28.2,10.4,0.0,933.8,10,28
30.3,12.7,0.0,933.4,11,25
31.1,14.7,0.0,932.9,10,29
31.5,19.5,0.0,932.0,11,27
33.6,17.0,0.0,930.5,9,36
35.3,16.0,0.0,929.4,7,32
34.9,22.7,0.0,929.3,9,18
34.9,23.0,0.0,929.7,8,23
32.6,18.5,0.0,930.9,16,43
37.1,19.7,0.0,930.1,7,36
35.3,21.5,0.0,930.7,10,25
36.8,21.4,0.0,930.3,11,27
35.4,20.8,0.0,930.1,11,23
31.6,19.9,0.0,930.8,9,23
29.2,15.3,0.0,931.3,7,24
30.5,14.0,0.0,930.1,8,26
34.8,20.6,0.0,929.5,7,20
38.4,21.6,0.0,926.5,8,25
