TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
-8.8,-18.0,0.0,859.4,55,78
-11.8,-21.1,0.0,863.5,47,75
-9.9,-21.8,0.0,858.1,33,61
-4.8,-20.1,0.0,850.5,37,57
-8.9,-20.1,0.0,853.8,28,60
-10.4,-19.9,0.0,857.3,39,64
-8.8,-20.5,0.0,856.9,36,57
-9.1,-20.7,0.0,856.7,36,57
-7.9,-19.6,0.0,858.4,38,66
-10.3,-21.2,0.0,860.6,46,72
-4.9,-20.9,0.0,853.0,35,68
-5.2,-18.3,0.0,853.4,33,69
-5.4,-18.5,0.0,851.5,32,62
-6.3,-19.5,0.0,848.5,31,70
-5.7,-19.8,0.0,842.3,35,71
-7.4,-19.7,0.0,845.1,33,61
-5.5,-20.0,0.0,846.3,25,59
-7.9,-19.5,0.0,853.5,43,78
-14.4,-23.2,0.0,861.2,41,79
-17.3,-26.1,0.0,863.9,38,67
-18.1,-26.3,0.0,861.9,35,67
-13.9,-25.0,0.0,856.1,24,50
-14.2,-22.9,0.0,855.0,35,62
-9.4,-23.0,0.0,849.1,25,51
-7.1,-19.5,0.0,846.3,21,49
-10.6,-23.3,0.0,847.4,30,65
-10.6,-23.8,0.0,851.7,26,66
-12.6,-24.8,0.0,853.9,19,52
-10.8,-24.4,0.0,852.4,21,58
-7.9,-23.7,0.0,851.5,21,63
-16.2,-24.6,0.0,859.3,32,65
-12.5,-24.9,0.0,861.5,27,62
-8.3,-23.7,0.0,857.3,23,67
-9.4,-21.3,0.0,851.4,22,63
-5.0,-20.2,0.0,845.8,25,61
-9.7,-21.3,0.0,855.6,27,62
-12.9,-22.8,0.0,861.6,23,58
-12.8,-23.0,0.0,861.2,28,57
-8.9,-20.3,0.0,855.5,20,50
-8.8,-20.7,0.0,853.9,25,56
-6.2,-20.9,0.0,851.5,19,56
-4.3,-21.2,0.0,846.9,17,55
-2.7,-16.0,0.0,847.2,23,67
-9.2,-21.3,0.0,853.0,29,68
-5.7,-21.3,0.0,855.5,21,58
-9.1,-19.4,0.0,860.2,28,61
-8.1,-20.0,0.0,861.1,26,65
-7.4,-20.4,0.0,860.6,26,67
-3.6,-19.4,0.0,852.0,18,61
-0.4,-17.4,0.0,845.3,14,49
1.9,-16.8,0.0,842.3,13,50
4.1,-12.5,0.0,844.0,16,80
-4.8,-13.1,0.0,853.5,33,80
-2.0,-16.3,0.0,855.1,18,73
-7.6,-18.0,0.0,859.6,27,74
-4.1,-17.9,0.0,855.4,21,57
-0.6,-16.2,0.0,851.3,22,57
2.2,-14.3,0.0,844.1,23,72
3.1,-10.6,0.4,847.9,27,78
-4.0,-11.2,0.0,854.5,40,75
-2.0,-12.8,0.0,852.4,32,63
-1.3,-11.9,2.6,850.9,27,75
-4.2,-11.2,0.8,848.7,61,87
-7.1,-21.5,0.7,847.2,63,87
-5.3,-22.1,0.0,845.0,53,77
-5.1,-16.8,0.0,850.2,45,68
-4.4,-21.7,0.0,853.9,36,67
-1.9,-21.7,0.0,850.5,35,67
-4.2,-16.2,0.0,855.7,41,66
-5.5,-16.4,0.0,859.9,33,64
-0.8,-15.6,0.0,856.6,31,61
3.1,-9.7,0.0,853.1,23,58
4.7,-10.5,0.0,851.4,23,61
8.4,-10.3,0.0,845.7,16,60
8.7,-4.2,0.0,844.8,18,51
7.7,-8.4,0.2,846.1,24,79
-1.7,-10.8,0.0,851.9,32,69
4.1,-10.3,0.0,851.8,25,71
5.3,-7.6,0.0,850.8,30,75
8.4,-7.0,0.0,849.9,23,71
7.2,-0.8,0.0,852.7,28,54
0.3,-7.7,1.1,857.5,16,73
7.8,-6.9,0.0,855.6,13,30
10.0,-4.9,0.0,853.6,12,44
11.6,-4.2,0.0,852.7,11,38
10.8,-2.5,0.0,855.8,11,36
14.2,-0.8,0.0,855.1,8,25
12.9,-7.0,0.0,852.4,8,80
0.6,-8.0,0.0,861.0,23,77
8.8,-5.8,0.0,856.4,6,27
13.9,-0.1,0.0,846.2,4,24
5.9,-6.1,2.7,849.7,29,61
6.4,-5.4,0.0,858.4,17,41
12.2,-2.6,0.0,853.6,17,44
8.9,-3.1,0.0,857.4,18,52
11.7,-1.6,0.0,857.0,19,45
16.1,1.9,0.0,854.7,10,29
10.6,-0.4,0.0,854.4,22,38
17.5,1.4,0.0,847.2,12,40
18.6,-4.6,0.1,849.6,10,73
-0.8,-8.1,1.3,858.1,19,72
8.1,-6.3,0.0,854.6,13,37
13.7,2.9,0.0,849.6,17,39
17.4,4.5,0.0,845.4,9,31
15.9,-0.4,0.0,849.4,14,60
14.3,0.6,0.0,853.5,11,49
19.6,5.6,0.0,848.2,10,35
20.2,8.9,0.0,842.7,8,23
18.4,0.8,0.2,842.3,8,80
11.0,-2.6,0.0,849.3,13,43
13.6,0.9,0.0,846.0,16,52
20.8,4.5,0.0,840.0,11,42
21.4,2.7,0.0,835.3,6,35
12.5,-3.5,0.0,845.1,10,65
5.0,-2.8,0.4,852.8,18,57
13.9,0.7,0.0,844.8,14,39
15.8,-2.9,0.0,842.0,10,39
11.6,-1.6,0.1,844.5,13,42
19.4,2.5,0.0,844.4,10,35
24.3,4.3,0.0,845.9,8,44
17.0,5.8,0.0,851.4,11,36
20.1,4.9,0.0,850.8,7,20
24.6,7.0,0.0,851.8,6,17
26.5,10.2,0.0,853.3,4,16
27.9,10.1,0.0,855.0,5,26
28.0,13.1,0.3,853.0,7,49
25.4,11.7,0.3,849.9,18,48
25.2,10.6,0.0,850.1,15,54
25.2,10.5,0.4,850.6,13,61
25.1,11.5,0.0,852.4,8,34
21.4,8.4,0.0,852.3,12,67
13.2,-0.3,2.2,851.8,19,74
12.4,-1.0,0.0,848.9,16,52
9.9,-0.8,0.0,850.2,15,42
13.6,2.2,0.0,851.0,14,52
20.3,6.5,0.0,850.5,10,42
22.0,8.5,0.0,850.4,8,36
27.2,11.2,0.0,845.4,5,35
19.1,10.6,0.1,850.5,26,44
27.4,10.6,0.0,848.2,10,38
31.5,13.0,0.4,846.3,8,39
15.7,0.3,0.0,851.7,8,49
15.6,2.4,0.0,853.1,8,46
17.9,8.1,0.0,853.6,11,31
15.9,3.9,0.4,851.7,22,64
24.1,10.2,0.0,850.6,6,42
26.2,15.1,0.0,848.7,5,11
29.6,6.4,0.0,850.0,5,65
13.7,3.1,1.3,854.8,30,67
17.9,4.7,0.0,855.3,14,53
22.3,5.6,0.0,851.5,10,57
19.4,5.2,0.0,853.0,15,53
23.4,10.0,0.0,850.9,13,39
23.9,11.1,0.5,849.5,17,43
25.3,9.9,0.0,848.9,10,57
25.5,12.0,0.0,848.7,10,41
24.4,13.5,0.1,850.1,19,41
22.9,10.6,6.5,848.5,23,89
22.5,12.4,0.0,846.6,23,80
26.9,9.4,0.0,846.6,17,73
16.9,6.3,0.0,850.1,20,51
21.5,9.0,0.0,850.4,17,39
24.6,14.0,0.0,849.9,13,36
29.2,8.5,0.0,848.9,9,63
19.3,9.4,0.0,854.5,23,61
24.5,12.8,0.0,855.4,13,42
28.4,18.0,0.0,852.3,13,27
31.0,15.7,0.0,848.6,10,26
32.6,17.1,0.0,847.2,8,46
30.6,15.5,0.8,846.0,15,62
27.9,13.2,0.9,843.7,16,60
27.5,13.8,0.8,844.8,19,62
30.6,14.8,0.4,845.6,14,61
31.1,13.4,0.0,846.7,12,80
22.0,11.0,1.0,845.0,47,88
23.8,7.8,0.2,844.7,31,74
21.6,9.6,0.0,848.1,21,59
25.7,13.7,0.0,850.0,20,85
27.3,13.7,0.0,850.8,18,80
25.0,12.6,0.0,853.8,15,66
31.0,17.5,0.0,851.4,9,29
34.4,17.1,0.0,850.6,7,34
32.1,18.8,0.0,851.1,11,31
33.5,19.4,0.0,847.6,10,48
29.4,15.6,0.5,845.1,24,87
30.4,14.8,1.4,844.5,21,69
31.1,17.4,0.0,847.7,13,64
21.0,13.6,6.4,845.2,55,89
27.9,16.5,0.0,844.9,23,68
27.5,13.3,0.4,845.8,24,67
30.6,15.0,0.0,848.0,16,60
26.4,15.2,0.0,850.7,28,65
27.8,14.9,0.0,851.8,24,62
29.1,17.7,0.0,852.4,21,56
27.7,17.0,0.0,852.3,26,63
29.2,17.4,0.0,852.1,23,61
31.5,21.4,0.0,850.5,18,47
31.9,20.3,0.0,849.9,20,56
27.4,16.0,6.1,852.6,35,92
25.9,15.8,0.2,851.7,41,88
25.5,11.7,13.5,849.8,50,96
21.1,12.6,0.0,852.3,41,88
23.9,11.6,0.0,852.4,33,69
28.2,14.0,0.7,851.2,22,75
19.2,11.3,3.2,849.6,62,90
23.8,14.3,5.8,849.5,39,93
18.6,10.0,6.3,848.5,67,97
25.8,13.5,0.0,849.5,39,87
21.4,13.0,1.4,848.5,57,96
23.3,14.2,0.0,851.1,46,88
26.9,16.5,0.4,851.5,28,89
26.1,13.4,2.7,848.4,41,87
23.9,15.3,0.3,849.0,49,86
24.7,16.3,0.9,850.6,45,86
27.3,14.9,0.0,851.2,28,74
31.1,18.5,0.0,852.1,18,61
32.5,20.4,0.0,853.3,21,64
33.1,19.2,0.0,852.8,19,67
28.9,12.6,4.1,851.9,31,87
25.5,15.1,0.0,854.5,33,70
27.7,14.7,0.0,855.4,22,54
