TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
-36.8,-43.5,0.0,628.1,67,71
-34.8,-43.0,0.0,635.4,67,72
-34.7,-38.6,0.0,641.4,70,72
-35.0,-37.9,0.0,643.3,69,72
-34.8,-40.0,0.0,647.7,69,72
-31.2,-34.4,0.0,651.6,72,74
-30.8,-34.6,0.0,654.0,72,74
-29.1,-30.4,0.7,649.7,72,75
-28.7,-31.5,0.0,637.4,73,75
-31.8,-37.1,0.0,637.9,70,73
-32.2,-41.2,0.0,648.8,70,73
-29.4,-41.0,0.1,651.3,61,75
-26.6,-34.3,1.6,652.6,73,77
-32.6,-41.0,0.0,642.8,69,73
-26.3,-40.6,0.0,647.5,70,78
-28.2,-31.9,0.0,649.5,74,76
-27.2,-30.7,0.0,648.8,75,77
-28.1,-37.4,0.0,643.8,72,77
-27.9,-35.2,0.0,651.2,72,77
-26.9,-30.2,0.0,658.0,75,77
-30.5,-33.9,0.0,658.5,73,75
-31.8,-36.9,0.0,661.0,71,74
-35.7,-38.8,0.0,657.0,71,73
-39.2,-42.9,0.0,647.8,59,73
-43.1,-45.8,0.0,641.7,66,76
-43.6,-47.2,0.0,638.6,74,77
-34.3,-47.0,0.0,642.8,71,74
-33.7,-36.6,0.0,651.9,72,73
-29.3,-36.6,1.0,649.8,72,76
-31.0,-39.1,0.0,649.3,69,74
-38.3,-42.0,0.0,646.0,69,73
-36.7,-41.1,0.0,648.4,72,75
-37.4,-42.3,0.0,653.4,71,76
-28.6,-37.6,0.1,656.4,66,76
-34.2,-35.9,0.0,653.7,72,73
-30.4,-39.3,0.0,652.9,71,74
-23.4,-29.4,2.5,658.1,75,79
-22.5,-34.1,1.1,654.4,73,80
-29.6,-33.6,0.0,649.4,67,75
-31.7,-36.3,0.0,652.0,72,75
-31.5,-38.2,0.0,655.2,70,74
-31.0,-40.2,0.0,653.1,65,74
-30.2,-34.7,0.0,657.0,72,75
-27.9,-33.9,2.1,653.3,72,76
-15.3,-28.1,3.4,660.7,77,88
-19.9,-29.0,0.4,651.2,75,82
-30.3,-38.9,0.0,643.8,69,74
-36.4,-39.3,0.0,648.3,70,73
-34.2,-38.8,0.0,650.6,70,72
-37.8,-43.8,0.0,643.0,67,70
-42.8,-46.4,0.0,639.4,66,68
-43.8,-47.4,0.0,633.0,50,69
-39.2,-43.3,0.0,634.6,46,73
-37.3,-43.7,0.0,637.0,70,77
-37.6,-45.6,0.0,640.2,69,77
-39.5,-44.7,0.0,639.4,69,75
-41.2,-47.7,0.0,634.8,66,69
-44.6,-48.1,0.0,625.5,64,67
-46.2,-54.7,0.0,623.1,63,66
-44.9,-54.8,0.0,624.6,53,65
-41.5,-45.2,0.0,637.4,57,69
-33.8,-46.2,0.8,644.2,66,72
-28.3,-34.6,0.0,647.6,71,75
-30.9,-40.1,0.0,642.7,68,74
-27.8,-43.4,0.6,643.3,62,76
-28.8,-30.2,0.0,642.4,73,75
-23.9,-29.5,1.8,642.3,72,77
-25.3,-34.6,0.0,641.4,70,77
-34.5,-37.4,0.0,636.7,71,73
-30.9,-37.7,0.0,640.8,70,74
-33.3,-39.6,0.0,642.2,66,73
-39.4,-45.2,0.0,648.3,45,68
-30.3,-41.3,0.0,652.3,41,75
-34.4,-38.9,0.0,649.8,70,72
-39.6,-44.6,0.0,643.9,68,70
-39.3,-43.5,0.0,647.2,67,69
-39.0,-45.8,0.0,644.4,64,72
-31.3,-38.5,0.0,651.3,72,74
-30.0,-36.1,0.0,647.0,72,75
-28.2,-32.2,0.0,655.2,73,75
-30.2,-36.7,0.0,654.6,72,75
-31.7,-36.1,0.0,656.0,72,74
-25.4,-36.1,0.3,661.6,74,78
-15.5,-22.2,1.8,674.2,80,88
-20.3,-24.0,0.0,667.4,79,82
-22.6,-29.7,0.0,660.6,74,80
-26.7,-31.7,0.0,656.2,74,78
-27.2,-34.7,0.0,659.9,72,76
-32.4,-36.9,0.0,660.7,71,73
-26.8,-38.0,0.0,663.4,69,78
-26.8,-34.8,0.0,665.6,75,79
-30.0,-36.0,0.0,665.4,48,80
-20.1,-36.4,0.7,669.8,57,83
-15.5,-20.9,3.5,672.7,82,87
-17.1,-19.9,0.5,672.6,83,85
-12.7,-19.8,4.0,671.7,83,90
-12.9,-18.4,4.2,672.2,84,90
-13.8,-21.0,1.8,665.9,81,88
-19.7,-26.8,0.0,659.4,76,82
-21.3,-26.1,0.0,659.2,75,81
-25.0,-29.5,0.0,660.3,68,76
-27.0,-33.0,0.0,662.7,54,75
-25.9,-32.1,0.0,665.3,73,77
-27.2,-31.1,0.0,668.3,74,76
-25.8,-32.0,0.0,668.9,74,78
-21.6,-27.6,0.0,671.1,75,81
-24.5,-29.8,0.0,670.2,77,80
-27.7,-30.6,0.0,665.1,75,80
-27.6,-34.0,0.0,659.2,74,77
-29.7,-35.3,0.0,656.3,74,75
-32.0,-37.0,0.0,657.7,72,75
-33.1,-37.8,0.0,657.5,72,75
-31.2,-39.0,0.0,661.4,72,76
-30.6,-37.4,0.0,661.9,75,79
-26.4,-37.2,0.0,666.5,64,79
-29.9,-36.9,0.0,667.6,71,75
-26.0,-40.8,0.0,663.1,58,78
-21.8,-26.4,0.0,662.4,78,80
-22.2,-28.3,0.0,662.3,76,80
-23.3,-29.1,0.0,665.1,72,79
-16.7,-28.5,0.5,661.3,68,85
-23.2,-30.3,0.0,669.1,71,79
-19.9,-26.2,0.0,677.7,75,82
-18.0,-22.5,0.0,683.7,80,84
-19.1,-24.0,0.0,682.9,77,83
-16.3,-24.1,0.0,681.5,79,85
-16.4,-21.2,0.0,680.5,80,85
-16.7,-23.4,0.0,676.8,78,83
-20.5,-23.7,0.0,676.1,74,81
-20.1,-25.2,0.0,672.1,77,80
-21.2,-26.9,0.0,669.0,76,80
-20.3,-25.7,0.0,670.7,69,81
-25.9,-32.2,0.0,669.2,66,77
-24.8,-31.0,0.0,674.6,64,78
-26.8,-32.0,0.0,674.7,74,76
-25.6,-34.8,0.0,669.8,70,76
-26.9,-32.2,0.0,669.9,74,77
-24.4,-32.3,0.0,668.7,75,79
-24.1,-32.8,0.0,666.7,74,79
-22.0,-31.5,0.0,665.4,74,80
-16.8,-22.8,0.0,669.1,80,85
-16.0,-23.1,0.0,672.8,80,83
-18.3,-22.3,0.0,674.2,72,83
-16.0,-25.4,0.0,671.7,67,84
-14.0,-22.7,0.0,671.2,79,87
-13.7,-19.4,1.8,668.0,77,86
-17.7,-23.1,0.4,667.3,65,84
-9.2,-26.1,2.7,676.8,73,93
-7.4,-11.4,1.5,688.7,87,94
-6.7,-10.4,0.0,693.6,87,94
-8.0,-13.6,0.0,693.6,84,93
-8.1,-13.4,0.0,691.6,80,92
-10.1,-17.6,0.0,686.6,80,88
-11.0,-20.0,0.0,684.1,61,86
-11.0,-18.8,0.0,685.3,48,64
-11.2,-14.3,0.0,686.8,47,62
-12.0,-16.7,0.0,682.8,51,68
-13.3,-16.9,0.0,679.7,55,84
-13.8,-18.4,0.0,681.5,82,86
-15.0,-19.4,0.0,684.5,77,85
-14.5,-20.2,0.0,684.0,77,83
-15.5,-21.7,0.0,683.2,73,84
-17.0,-22.9,0.0,682.4,80,85
-17.5,-25.1,0.0,678.5,78,81
-16.6,-24.3,0.0,681.8,76,82
-15.3,-23.7,0.0,684.3,59,82
-6.9,-16.4,0.9,687.5,64,94
-6.8,-10.1,0.2,686.1,85,95
-6.7,-13.0,0.0,684.2,82,93
-4.6,-10.0,0.0,685.4,84,94
-5.3,-8.2,0.0,686.3,84,95
-6.4,-9.0,0.0,685.3,84,94
-4.3,-9.1,0.7,681.9,81,95
-6.6,-10.4,0.0,681.7,76,95
-10.4,-13.7,0.0,682.9,75,91
-11.3,-17.1,0.0,684.0,76,87
-9.0,-15.4,0.1,686.5,72,89
-5.9,-11.1,0.6,689.1,81,93
-9.0,-12.6,0.1,689.1,75,92
-9.3,-12.0,0.0,687.7,77,92
-11.1,-13.5,0.0,683.3,87,92
-11.2,-14.8,0.2,676.9,74,89
-8.6,-14.5,0.0,674.4,75,90
-12.0,-16.6,0.6,675.8,70,88
-14.3,-20.7,0.0,678.5,76,85
-13.4,-21.6,0.0,681.0,81,86
-12.0,-18.0,0.0,682.8,81,89
-6.4,-16.2,1.8,682.6,87,95
-9.0,-13.3,1.1,682.3,80,94
-11.9,-15.0,0.0,688.1,71,89
-10.4,-18.3,0.0,686.7,75,92
-4.4,-11.9,0.0,689.1,90,96
-1.8,-7.4,0.0,688.7,92,98
-2.7,-5.4,0.0,689.1,87,97
-3.7,-7.7,0.0,688.2,88,96
-6.7,-11.4,0.0,680.6,89,96
-7.5,-14.1,0.0,680.2,87,95
-9.2,-14.4,0.0,683.6,79,92
-9.2,-11.0,0.0,684.0,81,89
-9.7,-14.0,0.0,683.0,77,90
-9.1,-14.8,0.0,681.2,74,90
-11.0,-15.5,0.0,677.8,73,88
-11.5,-13.9,0.0,675.1,71,85
-12.5,-16.8,0.0,670.9,65,88
-13.3,-18.8,0.0,670.5,80,85
-11.2,-16.2,0.0,675.5,74,88
-12.8,-17.0,0.0,679.3,74,90
-11.0,-16.0,0.0,685.4,79,90
-8.2,-18.5,0.0,684.5,67,89
-3.3,-7.8,0.0,685.5,91,97
-2.1,-7.4,0.2,682.6,91,97
-2.6,-5.4,1.6,683.7,88,96
-4.5,-6.8,0.0,686.9,75,96
-4.8,-7.9,0.6,686.3,86,94
-5.2,-7.9,0.8,685.1,80,97
-5.8,-8.8,0.0,687.6,78,94
-3.7,-7.7,0.0,688.1,88,97
-4.5,-8.0,0.0,683.4,87,97
-3.6,-8.7,0.6,681.6,84,94
-3.5,-7.2,4.2,677.3,90,94
-4.5,-9.1,2.9,672.8,88,95
-7.0,-11.2,1.9,670.3,71,92
-8.9,-13.6,0.6,672.1,83,90
-9.3,-13.1,0.9,668.4,79,93
-13.0,-17.5,0.0,676.2,72,89
-14.6,-19.0,0.0,684.7,79,85
-15.5,-22.2,0.0,680.8,77,87
-11.2,-17.3,0.1,687.0,85,90
-15.4,-22.6,0.0,683.9,54,84
-10.2,-18.5,0.0,683.7,22,51
-13.8,-19.5,0.0,681.0,30,50
-11.0,-20.4,0.0,680.0,33,51
-14.0,-23.8,0.0,672.4,36,56
-17.7,-20.5,0.0,672.2,51,61
-16.8,-22.0,0.1,672.0,58,83
-19.3,-22.8,0.3,676.6,78,82
-17.5,-20.0,0.0,680.2,81,84
-18.4,-22.6,0.0,681.2,77,83
-21.3,-24.6,0.0,675.8,78,81
-22.2,-27.6,0.0,673.6,76,80
-21.4,-28.5,0.0,669.7,76,81
-24.2,-27.6,0.0,665.4,76,78
-24.1,-30.7,0.0,662.9,75,79
-20.5,-28.7,0.0,663.8,77,82
-20.8,-25.8,0.0,663.5,78,81
-22.3,-30.7,0.0,656.7,64,80
-25.5,-31.5,0.0,655.6,74,80
-27.6,-32.6,0.0,658.2,73,77
-23.2,-33.2,0.0,657.2,73,80
-23.4,-28.4,0.0,663.4,76,79
-26.5,-30.4,0.0,668.1,75,77
-26.0,-33.4,0.0,666.8,74,77
-28.9,-34.3,0.0,665.7,74,77
-29.1,-34.7,0.0,659.9,68,80
-20.1,-30.3,0.0,661.4,60,83
-19.8,-24.6,0.0,660.3,79,82
-20.8,-24.4,0.5,659.7,79,81
-24.3,-31.2,0.0,651.9,74,79
-23.7,-31.0,0.0,656.2,74,79
-26.6,-29.0,0.0,662.6,75,77
-27.6,-30.4,0.0,668.0,76,77
-25.7,-30.9,0.0,667.1,74,78
-21.8,-30.4,0.1,667.3,67,81
-13.6,-23.9,1.5,669.2,79,89
-15.0,-17.9,0.5,668.0,84,87
-18.3,-27.0,0.0,671.9,77,84
-22.6,-25.7,0.0,675.5,78,80
-22.1,-26.9,0.0,677.7,64,80
-18.0,-22.2,2.2,677.3,64,84
-20.2,-28.5,0.0,669.9,69,82
-24.9,-30.3,0.0,658.5,60,80
-24.8,-29.7,0.0,661.5,75,79
-27.4,-32.0,0.0,656.0,74,76
-31.9,-35.1,0.0,652.2,72,75
-33.5,-37.6,0.0,653.6,74,75
-37.5,-40.2,0.0,656.9,71,74
-18.6,-38.8,0.0,667.4,60,85
-18.3,-29.6,0.1,666.6,76,85
-23.3,-30.4,0.3,661.1,75,80
-22.3,-28.5,0.9,661.9,76,80
-24.9,-29.4,0.0,662.8,75,78
-22.1,-32.7,0.0,656.5,73,80
-29.1,-37.1,0.0,650.6,60,75
-31.3,-37.3,0.0,653.1,61,75
-25.1,-31.0,0.3,668.2,74,77
-23.2,-29.2,0.0,672.6,76,79
-21.8,-32.0,0.1,672.1,74,80
-23.5,-27.7,0.0,675.3,77,80
-26.8,-29.5,0.0,667.4,66,78
-26.0,-29.5,0.0,667.9,63,84
-26.7,-33.7,0.0,666.8,72,85
-25.6,-35.0,0.0,661.7,67,80
-25.1,-27.7,0.0,666.5,77,78
-24.1,-31.0,0.0,666.9,74,79
-31.8,-35.5,0.0,666.6,72,74
-35.7,-40.5,0.0,663.3,69,72
-40.7,-41.8,0.0,658.9,60,76
-32.6,-41.4,0.0,665.2,63,76
-27.4,-40.2,0.0,668.5,77,85
-20.9,-29.2,1.1,672.0,79,83
-24.7,-34.0,0.2,668.5,73,80
-18.0,-24.8,1.6,674.2,73,85
-25.0,-30.8,0.0,668.6,75,78
-29.5,-37.4,0.0,663.4,71,76
-37.7,-40.0,0.0,657.9,68,71
-37.0,-42.8,0.0,659.1,68,70
-34.4,-43.5,0.0,659.9,52,73
-25.2,-33.7,0.0,664.5,59,78
-23.8,-28.7,1.1,659.2,75,79
-30.8,-40.9,0.0,651.6,61,74
-28.2,-31.2,0.0,655.3,63,76
-30.0,-34.7,0.0,652.5,72,75
-33.5,-39.0,0.0,650.1,69,72
-39.3,-46.4,0.0,650.5,67,69
-44.6,-48.2,0.0,646.2,67,71
-35.7,-45.6,0.0,645.8,70,72
-35.9,-41.1,0.0,643.5,71,78
-34.8,-41.6,0.0,643.7,72,76
-30.5,-37.5,0.0,645.3,73,75
-34.8,-38.5,0.0,646.8,69,75
-34.5,-38.8,0.0,654.3,68,72
-33.1,-35.0,0.0,655.6,72,73
-35.1,-40.6,0.0,649.2,72,74
-36.0,-41.5,0.0,649.2,70,76
-36.1,-44.5,0.0,647.2,70,81
-40.6,-47.3,0.0,641.3,75,81
-34.2,-47.4,0.0,647.7,58,78
-29.9,-34.2,0.0,655.3,64,75
