TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
10,-84,0,707,2,51
10,-87,0,707,1,13
8,-81,0,708,1,83
9,-91,0,707,1,22
8,-92,0,708,1,36
8,-80,0,707,1,52
5,-84,0,706,1,10
5,-73,0,705,1,27
3,-89,0,707,1,26
5,-80,0,708,1,29
5,-88,0,706,1,34
4,-88,0,706,4,26
3,-86,0,706,1,54
2,-85,0,706,1,85
0,-77,0,705,1,59
0,-82,0,706,1,33
-1,-78,0,703,1,33
-7,-84,0,703,3,12
-3,-79,0,702,1,26
-1,-77,0,703,2,58
3,-82,0,705,3,17
3,-86,0,706,1,7
7,-84,0,703,2,22
7,-80,0,703,1,62
3,-78,0,705,2,45
1,-80,0,707,1,79
5,-87,0,708,0,45
7,-84,0,707,1,33
6,-81,0,708,1,36
10,-85,0,708,1,23
10,-87,0,709,5,17
7,-80,0,711,4,58
6,-85,0,713,4,29
8,-84,0,713,4,75
7,-84,0,713,1,20
7,-79,0,713,3,70
8,-93,0,714,1,38
1,-87,0,716,1,28
1,-91,0,718,1,37
2,-82,0,717,7,23
2,-83,0,717,0,5
2,-88,0,718,1,40
4,-94,0,719,1,36
8,-89,0,719,1,48
6,-78,0,720,1,72
6,-98,0,720,2,26
5,-83,0,721,1,65
5,-84,0,722,1,32
5,-79,0,709,2,39
5,-82,0,724,1,38
4,-87,0,725,2,15
5,-96,0,725,1,54
3,-82,0,726,5,18
5,-84,0,726,2,33
4,-93,0,727,1,52
4,-80,0,729,4,30
4,-86,0,730,1,50
3,-89,0,730,4,68
3,-79,0,729,2,47
2,-84,0,732,1,49
3,-84,0,732,1,43
2,-82,0,734,2,38
3,-80,0,734,2,13
3,-89,0,735,2,15
2,-80,0,736,2,66
3,-86,0,737,1,19
1,-91,0,738,7,13
2,-90,0,739,1,60
4,-87,0,740,1,47
2,-86,0,741,2,5
3,-87,0,742,5,15
3,-98,0,744,6,40
4,-93,0,745,3,11
2,-95,0,747,1,14
-1,-85,0,747,1,46
-1,-84,0,748,9,41
-5,-96,0,749,4,35
-6,-84,0,750,2,67
-6,-83,0,752,2,5
-6,-96,0,753,4,48
-8,-97,0,755,3,72
-13,-95,0,755,3,78
-13,-87,0,756,1,35
-14,-84,0,758,1,39
-13,-81,0,759,1,85
-12,-89,0,760,1,30
-13,-82,0,761,1,33
-14,-86,0,762,1,79
-14,-86,0,763,1,22
-13,-80,0,751,2,85
-13,-85,0,771,2,42
-14,-92,0,767,1,20
-15,-82,0,760,1,56
-60,-91,0,787,1,30
-15,-91,0,776,2,85
-34,-89,0,776,1,57
-16,-87,0,778,0,5
-14,-88,0,778,1,43
-16,-95,0,781,1,5
-14,-85,0,781,1,5
-14,-82,0,782,1,29
-16,-85,0,783,3,53
-16,-89,0,785,1,17
-15,-91,0,787,1,35
-17,-83,0,788,1,46
-15,-84,0,788,1,35
-16,-85,0,790,6,39
-17,-81,0,791,1,28
-18,-82,0,792,1,29
-18,-83,0,794,4,71
-16,-82,0,795,1,63
-16,-87,0,796,3,50
-15,-86,0,798,1,40
-17,-88,0,799,5,29
-17,-93,0,800,2,40
-14,-86,0,801,4,31
-18,-87,0,804,1,72
-15,-90,0,804,1,38
-16,-82,0,805,6,47
-18,-88,0,806,1,85
-17,-88,0,807,2,31
-21,-77,0,809,3,62
-15,-85,0,812,1,35
-15,-90,0,812,2,19
-19,-90,0,813,1,17
-19,-91,0,815,1,62
-12,-92,0,817,1,43
-10,-92,0,817,1,58
-10,-85,0,819,2,16
-12,-91,0,821,1,30
-14,-89,0,821,1,55
-1,-90,0,822,1,32
-3,-82,0,824,2,43
-9,-83,0,826,1,29
-8,-85,0,826,1,28
-9,-90,0,828,9,30
-7,-86,0,829,6,21
-9,-83,0,830,2,45
-12,-88,0,832,1,38
-11,-93,0,835,1,28
-9,-83,0,834,1,15
-8,-85,0,835,1,24
-8,-80,0,836,1,37
-7,-82,0,837,1,34
-8,-91,0,838,5,23
-6,-82,0,840,3,23
-10,-81,0,841,7,18
-14,-88,0,842,1,28
-12,-90,0,843,1,9
-13,-83,0,845,16,28
-15,-86,0,845,2,25
-7,-87,0,846,1,14
