TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
33.3,20.8,0.0,954.4,27,93
33.5,21.3,0.0,954.2,25,90
33.1,20.9,0.0,954.3,29,88
33.1,20.7,0.4,954.7,31,87
32.7,20.3,0.0,954.8,29,91
33.0,20.7,0.0,954.9,29,89
33.3,20.6,0.0,954.8,28,91
31.7,20.4,0.3,954.8,43,90
31.6,21.4,1.6,954.6,41,88
31.3,20.5,0.0,954.4,37,91
30.7,21.0,0.0,954.2,39,88
32.0,21.6,0.4,955.4,38,86
31.9,21.1,0.4,955.2,40,90
32.5,20.8,0.1,955.2,34,91
31.7,21.3,0.0,955.0,33,91
32.4,20.2,0.0,954.9,24,92
30.5,20.3,0.1,954.4,33,90
30.8,21.5,6.4,953.7,41,88
29.6,21.2,1.2,953.5,50,91
28.9,21.1,2.0,954.2,54,90
28.6,20.7,1.3,953.9,56,94
28.5,20.5,0.9,953.0,56,95
27.8,20.6,1.7,953.0,54,93
27.9,20.5,1.1,953.2,54,94
30.4,20.5,0.0,954.1,40,94
31.3,19.9,0.0,953.5,34,95
29.5,20.3,0.0,953.6,43,95
32.1,20.3,0.0,953.9,32,90
30.2,19.3,0.0,953.5,38,90
29.7,20.9,0.6,953.4,41,92
31.1,20.4,0.1,953.2,33,94
32.0,20.5,0.0,954.0,31,91
30.6,19.8,0.0,954.2,36,91
30.8,20.3,0.0,954.1,37,90
30.8,20.1,0.0,954.1,34,89
32.6,20.6,0.0,954.4,29,87
33.0,21.2,0.0,954.5,30,86
32.9,19.9,0.0,953.5,29,89
33.5,20.0,0.0,952.5,26,90
32.3,20.8,0.3,953.1,32,90
31.3,21.0,0.2,953.7,44,92
31.3,21.3,0.0,954.3,33,91
32.1,20.4,0.0,953.7,29,88
31.3,20.3,0.0,953.9,35,90
31.0,20.5,0.0,954.1,40,87
31.1,21.0,0.3,953.8,36,87
31.5,20.7,0.0,953.1,34,89
29.8,21.5,6.0,953.9,50,87
28.9,21.2,7.2,954.4,56,91
28.4,20.9,10.1,954.8,62,97
28.7,20.7,0.5,954.2,57,96
29.5,21.2,0.2,954.6,44,92
29.9,20.7,0.1,953.5,44,95
30.7,18.9,0.0,952.7,38,95
30.7,19.1,0.0,951.9,36,95
30.5,20.3,0.9,952.4,36,90
31.6,20.9,0.0,953.4,35,87
31.6,21.3,0.0,954.1,38,92
32.0,20.5,0.0,954.3,34,91
32.8,19.7,0.0,954.5,32,88
33.4,20.2,0.0,954.4,28,85
32.4,19.3,0.0,954.3,29,88
33.9,19.7,0.0,954.2,24,88
33.7,19.5,0.0,954.4,23,83
32.8,21.2,0.8,954.4,29,89
30.4,21.7,0.6,954.1,44,88
32.2,21.1,0.1,953.8,31,89
32.7,21.6,0.2,954.5,33,90
32.4,20.1,0.0,954.5,29,90
32.9,20.2,0.0,954.6,29,89
24.9,19.3,15.1,955.2,57,90
29.6,20.3,0.0,954.0,47,96
30.4,20.7,0.0,954.1,40,94
31.3,19.4,0.0,954.7,34,93
31.2,21.1,0.2,955.4,43,93
32.0,21.2,0.3,955.3,37,96
32.4,19.7,0.0,954.4,31,94
31.7,20.8,0.0,953.0,38,95
33.2,21.5,0.0,953.0,29,92
33.3,20.0,0.0,952.9,27,92
33.4,19.8,0.0,953.3,28,82
33.0,20.2,0.0,953.2,30,90
32.6,19.8,0.0,953.0,32,94
31.6,20.4,0.8,954.2,45,88
32.3,22.2,0.6,954.5,41,89
32.4,21.1,0.0,954.1,30,89
33.0,20.8,0.0,953.6,28,88
33.0,21.0,0.0,954.5,30,85
32.2,22.0,0.0,955.9,35,82
33.1,21.7,0.0,956.6,31,90
33.3,20.5,0.0,956.1,26,93
34.2,20.8,0.0,955.0,23,84
32.9,20.7,0.0,954.5,30,84
31.5,21.8,0.5,954.3,41,86
31.1,22.0,1.0,954.3,44,89
31.0,21.0,0.0,954.0,44,89
32.0,20.5,0.0,953.8,35,92
33.0,21.3,0.5,953.4,32,93
32.5,21.1,0.0,953.2,31,92
30.8,19.9,0.6,952.9,45,87
30.5,21.4,0.1,954.3,41,88
31.9,20.1,0.0,955.6,28,87
33.0,19.9,0.0,954.9,27,87
31.9,20.5,0.0,954.4,31,89
32.3,20.5,0.0,954.2,30,89
31.7,20.9,0.0,954.3,35,81
32.0,21.6,0.0,954.3,34,92
33.6,21.0,0.0,954.7,26,91
33.7,21.7,0.0,955.4,25,83
33.7,21.3,0.0,953.8,24,81
31.0,21.9,0.3,953.5,40,88
32.8,21.5,0.0,954.5,32,87
33.6,21.3,0.0,955.4,28,88
33.5,21.4,0.0,954.7,30,93
32.9,19.9,0.0,954.5,29,93
32.5,20.8,0.0,954.6,31,92
32.2,21.7,0.0,954.2,33,85
32.6,19.4,0.0,953.7,19,90
32.5,17.9,0.0,953.5,17,82
31.7,20.8,0.0,953.9,32,93
32.6,19.0,0.0,954.4,24,88
32.1,20.5,0.0,955.0,29,89
32.5,20.1,0.0,955.1,28,92
32.3,20.7,0.0,956.2,28,90
30.3,20.4,0.0,956.1,34,88
30.8,19.5,0.0,955.3,34,86
31.6,20.1,0.0,955.3,34,87
28.9,20.0,0.7,956.0,48,85
31.3,19.1,0.0,956.3,28,86
31.7,18.1,0.0,954.9,31,87
