TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
23.4,18.8,17.1,924.3,82,97
23.2,16.6,0.3,924.8,63,96
26.1,15.6,0.4,927.6,52,99
27.4,15.7,0.0,929.9,44,99
26.0,16.7,6.9,930.8,62,98
27.2,17.9,9.3,930.4,61,97
26.9,17.9,6.1,931.2,63,96
23.8,18.0,3.4,932.7,77,100
24.3,17.4,5.5,931.9,66,99
23.4,18.7,7.3,932.0,71,94
25.3,18.5,4.3,933.5,64,91
26.0,17.3,0.0,933.0,54,89
26.8,17.7,0.0,930.9,54,92
25.3,20.1,2.3,928.9,67,83
25.8,20.0,15.6,929.9,69,88
25.4,19.2,12.4,931.7,70,96
24.6,19.0,31.0,930.8,73,97
25.6,18.4,7.4,931.1,62,100
24.2,18.0,10.5,930.4,69,99
24.9,18.3,5.3,931.5,71,95
27.1,19.0,11.3,931.4,60,95
25.3,18.7,2.3,930.9,69,97
28.5,18.9,5.5,930.1,53,99
28.4,17.9,1.0,930.0,56,97
27.4,19.6,4.4,929.8,62,92
21.8,17.1,9.4,930.5,89,98
17.7,15.5,37.7,931.2,92,99
21.4,13.4,9.2,931.0,70,97
23.5,15.0,0.2,930.3,57,100
24.9,13.1,0.0,929.3,52,99
26.9,14.3,0.0,929.0,47,100
27.2,16.8,4.2,929.8,57,100
27.6,18.0,0.0,931.8,50,95
28.6,18.8,0.0,932.7,51,97
29.2,18.6,0.0,932.8,44,97
29.7,18.2,0.0,932.5,42,99
30.2,21.2,0.0,932.1,39,93
31.4,19.6,0.0,930.0,36,99
29.5,19.8,2.2,928.5,48,93
28.6,20.9,3.1,928.2,58,99
28.4,20.3,8.1,928.5,63,100
25.6,20.1,25.1,928.7,73,99
23.1,19.6,19.6,929.4,83,99
24.6,19.6,9.3,931.1,73,99
27.4,19.2,3.3,933.4,60,98
27.0,19.2,2.1,935.1,65,99
26.1,18.7,1.2,934.5,59,99
26.2,18.8,2.9,933.6,61,97
28.4,18.6,0.0,933.3,52,98
28.3,19.5,0.0,933.0,53,99
28.2,19.7,3.5,931.3,53,99
26.3,19.6,1.1,931.1,62,98
26.9,20.1,1.3,929.1,65,87
26.9,19.6,2.9,929.0,71,93
26.2,19.1,10.4,929.5,74,100
26.8,19.7,6.1,928.7,69,99
28.2,20.3,0.9,929.0,66,96
27.6,19.9,3.8,930.8,67,97
30.0,20.1,0.2,931.3,44,98
31.3,21.0,0.0,931.5,38,100
31.6,21.9,0.0,931.0,38,95
29.3,19.9,3.4,930.8,57,91
25.7,21.0,7.0,933.6,75,99
25.8,19.0,0.7,934.0,61,97
27.0,18.8,0.0,933.5,54,97
26.8,18.6,0.5,934.1,54,97
26.9,16.6,0.0,934.7,47,95
27.0,16.5,0.0,933.9,46,95
