TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
-12.6,-20.7,0.3,1013.2,76,90
-9.8,-20.3,4.3,1017.0,80,92
-11.2,-19.1,3.0,1014.9,78,90
-19.6,-26.5,0.0,1021.1,77,82
-26.0,-31.0,0.0,1032.2,75,81
-26.9,-34.5,0.0,1037.1,75,79
-33.4,-35.1,0.0,1033.2,74,76
-30.0,-36.2,0.0,1026.3,71,77
-22.3,-30.8,0.0,1017.5,77,79
-23.2,-31.2,0.0,1015.6,77,80
-23.0,-27.2,0.0,1012.6,78,82
-18.9,-27.2,0.0,1019.0,78,83
-21.6,-24.4,0.0,1028.0,79,81
-25.1,-27.1,0.0,1034.2,77,80
-23.9,-25.7,0.0,1035.8,75,80
-25.6,-30.7,0.0,1034.8,73,76
-26.1,-31.9,0.0,1034.6,74,76
-19.4,-26.1,0.0,1032.5,75,82
-14.1,-19.1,0.0,1025.6,82,86
-13.5,-20.0,0.0,1023.0,75,87
-19.6,-23.7,0.0,1023.7,76,77
-24.0,-27.8,0.0,1022.2,77,79
-18.9,-26.9,0.6,1020.5,78,83
-21.7,-26.4,0.0,1028.3,78,81
-21.6,-25.6,0.0,1028.8,72,79
-20.2,-21.6,0.0,1026.6,71,76
-19.8,-26.0,0.0,1038.6,76,80
-21.0,-26.9,0.0,1048.0,78,80
-11.6,-20.8,0.0,1042.6,77,86
-2.9,-11.4,6.2,1027.2,85,94
-2.8,-12.7,1.7,1018.4,80,94
-2.3,-5.3,5.5,1015.7,85,94
-1.4,-17.5,8.2,1001.9,70,93
-16.5,-21.3,0.4,1026.8,70,80
-6.7,-15.3,0.9,1011.4,82,92
-3.6,-18.1,1.9,1009.6,68,92
-18.6,-22.8,0.0,1025.0,67,82
-23.5,-25.9,0.0,1034.1,76,82
-17.5,-22.8,0.0,1032.1,80,87
-14.5,-19.0,1.2,1017.8,73,85
-9.7,-14.4,0.7,991.8,77,90
-11.3,-12.8,0.5,989.7,89,91
-13.0,-16.5,0.1,995.4,83,89
-7.2,-15.4,0.9,1001.5,78,89
-6.7,-10.6,0.4,1005.6,81,90
-10.4,-17.5,0.0,1017.1,69,89
-18.6,-25.8,0.0,1023.6,67,75
-21.5,-26.2,0.0,1022.1,69,78
-18.5,-21.2,0.0,1016.8,78,83
-20.2,-23.0,0.0,1014.1,81,83
-20.3,-26.0,0.0,1014.6,77,81
-26.4,-29.3,0.0,1015.3,74,77
-22.7,-29.0,0.5,1017.7,72,75
-22.0,-22.7,0.0,1021.0,74,75
-23.0,-28.7,0.0,1020.9,71,75
