TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
19.1,10.0,4.6,860.0,33,94
13.6,8.1,5.3,857.6,85,100
13.4,7.8,1.6,856.8,87,99
13.9,5.9,0.0,857.3,59,100
15.1,5.4,0.0,858.3,54,99
14.8,4.6,0.0,859.4,53,99
15.4,6.6,0.0,861.2,54,98
16.1,7.1,0.4,860.5,53,94
14.2,7.2,3.1,859.2,70,97
15.4,6.6,0.9,859.1,61,99
14.7,5.8,2.2,858.3,58,99
14.3,5.1,0.2,856.8,37,97
11.3,3.8,0.3,855.6,49,97
13.6,2.7,0.0,854.7,49,97
14.1,2.4,0.0,854.1,47,96
13.6,4.3,0.0,852.6,41,98
13.2,4.2,0.5,852.8,56,98
13.4,6.9,1.2,854.0,61,98
13.6,7.0,6.8,855.4,59,96
13.6,7.6,5.0,855.1,80,99
12.8,3.4,0.0,854.7,58,100
13.9,2.8,0.0,856.0,42,94
14.6,2.4,0.0,855.4,48,100
13.7,2.8,0.0,855.4,51,99
14.6,3.1,0.0,855.6,51,100
15.1,3.1,0.0,856.0,51,97
15.0,4.9,0.0,856.4,51,98
15.3,4.5,0.0,856.5,48,97
16.2,4.3,0.0,857.3,38,95
16.5,5.1,0.0,858.3,35,93
16.7,4.6,0.0,858.1,42,93
15.6,3.5,0.0,857.5,42,94
16.2,3.3,0.0,858.9,47,94
17.5,5.5,0.0,858.3,43,93
18.0,6.4,0.0,857.9,39,94
19.1,6.6,0.0,857.8,47,95
18.2,9.1,0.0,857.6,50,94
19.1,6.7,0.0,857.1,45,98
19.5,6.5,0.0,857.2,48,95
17.6,9.0,1.1,856.1,58,99
16.6,3.3,0.0,856.0,34,86
16.1,3.2,0.0,856.1,26,91
16.5,3.0,0.0,857.0,32,93
17.8,4.7,0.0,858.2,39,91
18.5,6.7,0.0,858.4,46,89
18.9,8.2,1.2,857.5,49,98
19.8,8.0,0.0,858.1,47,97
19.3,9.1,1.1,857.6,47,100
19.6,6.7,0.0,857.6,42,94
18.3,6.3,0.0,856.1,37,90
17.5,6.3,0.0,854.8,44,91
15.7,7.9,0.3,854.4,57,93
20.2,7.8,0.0,854.9,42,93
20.2,10.3,0.0,855.0,46,88
20.2,12.1,0.0,855.4,45,89
21.3,10.9,0.0,854.9,37,83
19.9,9.4,0.0,853.1,33,61
20.3,7.8,0.0,853.5,28,71
18.0,9.1,0.0,851.9,32,62
16.8,9.7,2.7,852.1,57,96
17.7,10.0,0.0,853.6,41,84
17.6,10.6,0.0,852.6,51,90
17.5,9.6,3.2,852.6,40,94
16.1,9.3,2.0,854.7,57,98
